"","","","Volunteer Education Code:","Volunteer Highest grade completed:","Volunteer Highest Occupational Code:","Volunteer Highest job title/description:","Spouse/Significant Other Education Code:","Spouse/Significant Other Highest grade completed:","Spouse/Significant Other Highest Occupational Code:","Spouse/Significant Other Highest job title/description:","Maternal/Guardian #1 Education Code: (Reference age 16)","Maternal/Guardian #1 Highest grade completed:","Highest Maternal/Guardian #1 Occupational Code:","Highest Maternal/Guardian #1 job title/description:","Paternal/Guardian #2 Education Code:","Paternal/Guardian #2 Highest grade completed:","Highest Paternal/Guardian #2 Occupational Code:","Highest Paternal/Guardian #2  job title/description:","Subject SES Score","Subject Parental SES Score"
"A00035504","Adult- Age 22-59","V1","5","14","7","REAL ESTATE BROKER, OWNED SMALL BUSINESS","0","NA","0","NA","7","18","6","ROCKLAND COUNTY YOUTH SERVICES RESEARCHER","0","NA","0","NA","50","51"
"A00060629","ONE_DAY- Age 18-21","VA","4","12","DK","NA","0","NA","0","NA","4","12","3","NAILS","4","12","5","WORKS FOR THE TOWN, MY BOSS FULL-TIME","","32"
"A00037457","Adult- Age 22-59","V1","4","12","5","RESTAURANT OWNER","3","10","6","RESTAURANT OWNER","4","12","6","SECRETARY","4","12","4","MACHINIST","38","37"
"A00051835","Older Adult- Age 60-64","V1","6","16","4","OWNED SMALL BUSINESS <$25,000","0","NA","0","NA","5","13","5","BOOKKEEPER","5","13","5","BUSINESS OWNER ($25,000-$50,000)","38","40"
"A00054482","Older Adult- Age 65-85","V1","5","13","5","OFFICE CLERK/TYPIST/ADMINISTRATIVE WORK","0","NA","0","NA","2","8","6","KINDERGARTEN TEACHING AIDE","2","8","3","LONGSHOREMAN/SHIPS","40","28.5"
"A00037377","Adult- Age 22-59","V1","7","20","9","PSYCHOLOGIST","5","15","7","REAL ESTATE MANAGER","7","18","8","SCHOOL LIBRARIAN","7","18","8","RABBI, INSURANCE AGENT","58","61"
"A00028287","Adult-Age 18-21","V1","5","15","1","NO REGULAR OCCUPATION","0","NA","0","NA","5","14","7","REAL ESTATE AGENT","7","20","9","PSYCHIATRIST","20","58"
"A00039277","Adult- Age 22-59","V1","6","16","6","OFFICE MANAGER","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","48",""
"A00044012","Adult-Age 18-21","V1","4","12","1","STUDENT","0","NA","0","NA","5","14","2","FACTORY WORKER","2","9","6","PROJECT MANAGER ON CONSTRUCTION SITE","17","30.5"
"A00028613","Older Adult- Age 60-64","V1","5","14","8","OPERATING AND OWNING STATE LICENSED DAYCARE 100+ CHILDREN","7","18","9","TEACHER COLLEGE","6","16","7","TEACHER","7","18","7","LANDLORD, OWNER OF A BUILDING","60.5","54.5"
"A00065717","ONE_DAY-Age 60-64","VA","6","16","6","RESEARCH COORDINATOR","7","23","8","VICE PRESIDENT/COLLEGE ADMINISTRATOR","0","NA","0","NA","5","14","6","DRAFTSMAN","54.5","45"
"A00039084","Adult- Age 22-59","V1","5","14","3","HAIR DRESSER","0","NA","0","NA","5","13","5","HAIR SALON OWNER","4","12","3","FACTORY WORKER","30","33.5"
"A00059845","Adult- Age 22-59","V1","7","18","7","SUPPLY CHAIN LOGISTICS","7","18","8","CULTURAL LIAISON - REFUGEE CAMP","5","14","8","NURSE","5","14","4","REPAIRMAN - MEDICAL EQUIPMENT","58.5","45"
"A00063368","ONE_DAY- Age 22-59","VA","5","15","5","HOTEL DESK CLERK","0","NA","0","NA","4","12","1","HOMEMAKER","4","12","4","CARPENTER","35","32"
"A00035699","Adult- Age 22-59","V1","5","14","6","FLOWER SHOP OWNER","5","14","6","CONSTRUCTION BUSINESS OWNER","7","18","7","SUPERVISOR OF DEPT. OF SOCIAL SERVICES.","6","16","6","FLOORING BUSINESS OWNER","45","52"
"A00060431","Older Adult- Age 65-85","V1","4","12","4","POSTAL CARRIER","1","6","1","HOUSEWIFE","4","12","1","HOUSEWIFE","4","12","6","ANIMAL HUSBANDRY","32","42"
"A00062416","ONE_DAY- Age 22-59","VA","4","12","3","MACHINE OPERATOR/PHARMACEUTICAL COMPANY","4","12","4","SECURITY OFFICER","3","10","3","HOUSEKEEPER","2","8","2","LABORER","29.5","20"
"A00037266","Adult- Age 22-59","V1","5","13","5","CASHIER","0","NA","0","NA","0","NA","0","NA","4","12","4","SMALL BUSINESS OWNER","40","32"
"A00059107","Adult- Age 22-59","V1","7","21","9","SENTENCING GUIDELINE SPECIALIST- FEDERAL COURT","5","13","4","ELECTRICIAN","7","18","5","FURNITURE SALES","6","16","5","FURNITURE SALES","50.5","44.5"
"A00064053","ONE_DAY- Age 22-59","VA","5","13","6","EMT","0","NA","0","NA","6","16","8","RN","7","21","9","LAWYER","45","61"
"A00039593","Older Adult- Age 65-85","V1","6","16","8","COMPUTER PROGRAMMER/ANALYST","7","19","9","JUDGE","4","12","3","HAIRDRESSER","7","21","9","CHEMIST","62","46.5"
"A00031605","Adult- Age 22-59","V1","5","14","5","WELFARE EXAMINER","0","NA","0","NA","6","16","6","NUTRITIONIST","3","11","3","MAINTENANCE WORKER","40","36"
"A00051678","Older Adult- Age 65-85","V1","6","16","8","DIRECTOR OF PRINT PRODUCTION","0","NA","0","NA","4","12","7","INTERIOR DECORATOR","6","16","8","HIGH SCHOOL CHEMISTRY TEACHER","58","52.5"
"A00038831","Adult- Age 22-59","V1","4","12","4","PLUMBER","0","NA","0","NA","6","16","6","TRAVEL AGENT","5","14","4","BRICK LAYER","32","41.5"
"A00059662","ONE_DAY- Age 22-59","VA","5","14","8","RN","0","N/A","0","N/A","4","12","4","PHONE COMPANY","4","12","6","FIREMAN","55","37"
"A00039607","Adult- Age 22-59","V1","6","16","6","STORE MANAGER","0","NA","0","NA","2","8","3","MIDWIFE","0","NA","0","NA","48","21"
"A00058503","ENROLLED","V1","6","16","7","PRESCHOOL TEACHER","6","16","9","ENGINEER AT CBS FIBER CABLES","5","14","8","RN","7","17","9","HEAD OF EKG/RADIOLOGY AT HOSPITAL","58","60.5"
"A00043704","ENROLLED","V1","7","18","5","BANK TELLER","0","NA","0","NA","6","16","6","EXECUTIVE ASSISTANT AT BANK","0","NA","0","NA","46","48"
"A00039756","Older Adult- Age 65-85","V1","5","14","8","REGISTERED NURSE","0","NA","0","NA","1","5","1","HOUSEWIFE","2","8","3","HOUSE PAINTER","55","21"
"A00051676","Adult- Age 22-59","V1","4","12","5","PRE K TEACHER","5","14","6","SUPERVISOR AT ICE CREAM STORE","6","16","8","PRINCIPAL AT ELEMENTARY SCHOOL","5","14","4","POSTMAN","41","46.5"
"A00058998","Older Adult- Age 65-85","V1","6","16","7","ELEMENTARY SCHOOL TEACHER","4","12","2","CONSTRUCTION","7","17","8","PRINCIPAL OF ELEMENTARY SCHOOL","4","12","6","JACK OF ALL TRADES, LOGISTICS MANAGER, MASTER SERGEANT IN ARMY","37.5","31.5"
"A00054897","Adult- Age 22-59","V1","6","16","6","OWNER OF AUTO DETAILING COMPANY","0","NA","0","NA","4","12","6","SECRETARY AT AN ELEVATOR FIRM","7","20","9","PSYCHOLOGIST","48","54"
"A00043324","Adult- Age 22-59","V1","5","14","6","EXECUTIVE ASSISTANT AT TAX OFFICE","0","NA","0","NA","6","16","8","VICE PRESIDENT INSURANCE CORPORATION","5","14","6","POLICE OFFICER","45","51.5"
"A00060383","ONE_DAY- Age 22-59","VA","6","16","9","VP OF RISK MANAGEMENT AT BANK","6","16","6","PARALEGAL","5","14","6","SECRETARY","5","14","5","SALES- AUTO","55.5","42.5"
"A00034826","Older Adult- Age 65-85","V1","4","12","5","CASHIER","4","12","6","MANAGER AT GAS STATION","1","6","4","SEAMSTRESS IN FACTORY","1","2","3","FACTORY WORKER - BUTTON FACTORY","39.5","20.5"
"A00065480","ONE_DAY- Age 22-59","VA","5","14","6","ADMINISTRATIVE ASSISTANT AT CONSTRUCTION COMPANY","0","NA","0","NA","5","14","5","ACCOUNTING- NOT CERTIFIED","4","12","4","SUPERINTENDENT OF CONDOS","45","36"
"A00066156","ONE_DAY- Age 22-59","VA","6","16","8","RN","5","13","6","SALESMAN/SECURITY SYSTEMS","4","12","5","OFFICE CLERK/ADMIN","4","12","4","MECHANIC","46.5","34.5"
"A00039636","Adult- Age 22-59","V1","6","16","5","CASHIER","0","NA","0","NA","7","18","7","PSYCHOLOGIST","7","18","7","5TH GRADE TEACHER","43","56"
"A00038959","Older Adult- Age 65-85","V1","6","16","7","MIDDLE SCHOOL TEACHER","0","NA","0","NA","4","12","6","LEGAL SECRETARY","2","8","4","WELDER","53","34"
"A00061656","ONE_DAY-Age 65-85","VA","6","16","8","REGISTERED NURSE","7","18","8","NURSE PRACTITIONER","4","12","1","HOMEMAKER","4","12","6","NYPD","59.5","42"
"A00050940","ENROLLED","V1","5","13","4","FITNESS TRAINER","0","NA","0","NA","7","18","7","TEACHER FOR MENTALLY HANDICAPPED","0","NA","0","NA","35","56"
"A00056898","ENROLLED","V1","5","15","1","STUDENT","0","NA","0","NA","6","16","8","NURSE","5","14","4","MECHANIC","20","46.5"
"A00033962","Older Adult- Age 65-85","V1","5","14","6","IT TECHNICIAN AT AT&T","5","13","4","CLERK FOR THE COUNTY","4","12","1","HOUSEWIFE","2","8","4","CARPENTER","40","26"
"A00031272","Adult- Age 22-59","V1","5","13","6","CHEF","0","NA","0","NA","0","NA","0","NA","6","16","7","NURSE","45","53"
"A00028871","Adult- Age 22-59","V1","4","12","3","NURSING ASSISTANT","0","NA","0","NA","3","10","1","HOUSEKEEPING","5","14","6","PHARMACEUTICAL SALESMAN","27","29.5"
"A00053902","ENROLLED","V1","4","12","6","MASSAGE THERAPIST","0","NA","0","NA","6","16","8","RN","4","12","6","SUBSTANCE ABUSE COUNSELOR","42","50"
"A00055806","Adult- Age 22-59","V1","7","18","6","CASE WORKER - CHILD WELFARE","4","12","5","TRAINS STAFF AT GAS STATION","2","8","1","CLEANED HOUSES","2","8","2","FACTORY WORKER","44","13.5"
"A00053850","ENROLLED","V1","6","16","5","TEACHER/SPECIALIST REHABILITATION CENTER","0","NA","0","NA","5","14","2","WORKS IN A SCHOOL CAFETERIA","6","16","8","ACCOUNTANT","43","36.5"
"A00065935","ONE_DAY","VA","6","16","7","ELEMENTARY SCHOOL TEACHER","7","18","8","HIGH SCHOOL TEACHER","5","14","3","CHURCH ORGANIST","7","18","9","LAWYER","57","48"
"A00040343","Older Adult- Age 60-64","V1","7","18","8","COORDINATOR OF PLANNING","0","NA","0","NA","5","14","1","HOUSEWIFE","6","16","7","OWNED BUSINESS","61","53"
"A00040500","Adult- Age 22-59","V1","7","18","8","PROJECT DIR-RUNAWAY PROGRAM FOR COUNTY","3","11","4","DRIVER-DELIVERY/BUS OWNER SMALL","0","NA","0","NA","7","20","8","COLLEGE PROFESSOR/RESEARCH SCIENTIST","45","61"
"A00051548","ENROLLED","V1","6","16","6","ACCOUNTS AND RECEPTION AT NURSING HOME","0","NA","0","NA","5","14","7","INTERIOR DESIGNER, FREELANCE","5","14","9","VP OF AN ENERGY DRINK COMPANY, MARKETING/PRODUCTIONS DEPARTMENT","48","55"
"A00010893","Adult- Age 22-59","V1","4","12","6","OWNS BUSINESS","0","NA","0","NA","6","16","8","NURSE","4","12","6","SALES WORKER","42","50"
"A00066319","ONE_DAY- Age 22-59","VA","6","16","5","MEDICAL SCRIBE","0","NA","0","NA","6","16","5","JOB COACH/ DEVELOPMENTALLY DISABLED","6","16","6","PROGRAM COORDINATOR - DEVELOPMENTALLY DISABLED","43","45.5"
"A00060185","Older Adult- Age 65-85","V1","6","16","8","RN","0","NA","0","NA","0","0","4","SMALL BUSINESS AT LOCAL MARKETPLACE","0","NA","0","NA","63","20"
"A00033643","Adult- Age 22-59","V1","5","14","3","WAREHOUSE WORKER","0","N/A","0","N/A","5","14","3","MENTAL HEALTH AIDE AY NKI","0","N/A","0","N/A","30","30"
"A00051658","Adult-Age 18-21","V1","5","13","1","STUDENT","0","NA","0","NA","6","16","7","CORPORATE MANAGER","5","13","6","POLICE OFFICER","20","49"
"A00033903","Adult- Age 22-59","V1","7","18","6","SPEECH THERAPIST","4","12","6","GOVERNMENT EQUIPMENT AND OPERATIONS MANAGER FOR MILITARY","7","20","8","PRINCIPAL FOR ELEMENTARY SCHOOL","7","20","8","SCHOOL DISTRICT SUPERINTENDENT","46.5","61"
"A00037492","Adult- Age 22-59","V1","7","18","8","HIGH SCHOOL TEACHER","7","18","7","PHYSICAL THERAPIST","5","14","5","BOOKKEEPER","0","NA","0","NA","58.5","40"
"A00037726","Adult- Age 22-59","V1","6","17","6","WOMEN'S SERVICE COORDINATOR","0","NA","0","NA","0","NA","1","NO REGULAR JOB","0","NA","6","FOREMAN","51","30"
"A00062937","ONE_DAY-Age 60-64","VA","6","16","8","GRAPHIC ARTIST","5","14","8","ACCOUNTANT","4","12","1","HOMEMAKER","5","14","6","OWNED RESTAURANT","53.5","45"
"A00035378","Adult- Age 22-59","V1","7","18","8","EDITOR","0","NA","0","NA","5","14","7","TEXTILE DESIGNER","6","16","7","MARKETING CONSULTANT","61","51.5"
"A00037725","Adult- Age 22-59","V1","2","9","3","SECURITY GUARD","0","NA","0","NA","6","16","3","TELEMARKETER","0","NA","0","NA","21","33"
"A00040439","Adult- Age 22-59","V1","7","18","8","SPECIAL EDUCATION TEACHER","7","18","8","ADMINISTRATOR AT PHARMACEUTICAL COMPANY","7","18","9","COLLEGE PROFESSOR","6","16","8","SPECIAL AGENT - IRS","63.5","62"
"A00058621","ENROLLED","V1","5","15","1","STUDENT","0","NA","0","NA","4","12","5","SMALL BUSINESS OWNER-ANTIQUE BOOKS","4","12","4","MECHANIC","20","34.5"
"A00052118","Older Adult- Age 65-85","V1","6","16","7","TEACHER MIDDLE SCHOOL","7","18","9","ELECTRICAL ENGINEER","4","12","5","BOOKKEEPER","4","12","4","JEWELER","59.5","34.5"
"A00037767","Adult- Age 22-59","V1","5","13","6","ADMINISTRATIVE ASSISTANT","0","NA","0","NA","6","16","6","SECRETARY","0","NA","0","NA","45","48"
"A00061387","ONE_DAY- Age 22-59","VA","5","13","4","SECURITY GUARD","0","NA","0","NA","3","10","4","SECURITY GUARD","0","NA","0","NA","35","29"
"A00038817","Adult- Age 22-59","V1","3","10","5","DENTAL ASSISTANT","5","14","6","NYPD","2","9","1","NO REGULAR OCCUPATION","0","NA","0","NA","39.5","11"
"A00035562","Adult- Age 22-59","V1","5","13","5","PATIENT CARE ASSOCIATE","4","12","4","MECHANIC","6","16","6","SECRETARY","4","12","6","STORE MANAGER","36","45"
"A00057965","ENROLLED","V1","7","18","8","SOFTWARE DEVELOPMENT CONSULTANT","6","16","9","PRODUCTION ENGINEER","5","13","6","ADMINISTRATIVE WORK, SOCIAL WORK","0","NA","0","NA","59.5","48"
"A00031167","Adult- Age 22-59","V1","6","16","6","BENEFITS ANALYST","6","16","9","VP OF FINANCE","4","12","5","CAR DEALER","4","12","6","PRODUCE, SMALL BUSINESS OWNER- FRUIT STAND","53","39.5"
"A00064061","ONE_DAY-Age 65-85","VA","5","13","5","PAYROLL CLERK","0","NA","0","NA","2","9","5","OFFICE CLERK","0","NA","0","NA","40","31"
"A00053901","Adult- Age 22-59","V1","5","15","6","HUMAN RESOURCE MANAGER","0","NA","0","NA","2","8","3","OWNER OF HARI SALON","6","16","9","ELECTRICAL ENGINEER","45","42"
"A00040225","Older Adult- Age 60-64","V1","7","18","7","ACCOUNTING DIVISION MANAGER","0","NA","0","NA","6","16","7","ELEMENTARY SCHOOL TEACHER","7","18","8","HIGH SCHOOL TEACHER, DIRECTOR OF FED AND STATE TAXES OF COMPANY","56","57"
"A00037511","ENROLLED","V1REP","5","14","5","DIRECT CARE AID/RECREATION MANAGER","0","NA","0","NA","6","16","6","PAROLE OFFICER","0","NA","0","NA","40","48"
"A00051774","Adult- Age 22-59","V1","7","18","7","ELEMENTARY SCHOOL TEACHER","0","NA","0","NA","6","16","7","SOCIAL WORKER","6","16","8","BUSINESS OWNER","56","55.5"
"A00039463","Adult- Age 22-59","V1","5","13","5","CLERICAL","0","NA","0","NA","5","14","5","CLERICAL","4","12","4","OWN CONSTRUCTION COMPANY","40","36"
"A00053546","Adult-Age 18-21","V1","4","12","5","CASHIER","0","NA","0","NA","2","7","3","NURSING AIDE","4","12","3","NURSING AIDE","37","24"
"A00037111","Adult- Age 22-59","V1","7","18","7","GUIDANCE COUNSELOR","6","16","8","COMPUTER SYSTEMS ANALYST","1","4","4","PHARMACY CLERK","4","12","2","FACTORY WORKER","57","22.5"
"A00073283","ENROLLED","VA_ALG","7","18","7","HR STAFF MANAGER","0","NA","0","NA","4","12","7","MANAGER AT POSTAL COMPANY","0","NA","0","NA","56","47"
"A00038285","Adult-Age 18-21","V1","5","13","5","ROPES COURSE INSTRUCTOR","0","NA","0","NA","7","18","7","SPEECH PATHOLOGIST","5","14","6","FIREFIGHTER","40","50.5"
"A00073308","ONE_DAY-Age 65-85","VA","6","16","7","NATIONAL MANAGER SHARP ELECTRONICS","5","14","6","SALES-NEWSPAPER ADVERTISING","4","12","1","HOMEMAKER","4","12","4","FURIER","49","32"
"A00030912","Older Adult- Age 60-64","V1","7","18","7","ELEMENTARY SCHOOL TEACHER","6","16","1","PFIZER LABS STOCKROOM HANDLER","3","10","3","FACTORY WORKER - SEWING","4","12","4","RADIO CONTROL OPERATOR","39.5","28"
"A00038806","Older Adult- Age 60-64","V1","5","14","7","OWNED FASHION DESIGNER BUSINESS","5","13","7","VP SALES","5","14","8","REGISTERED NURSE","5","13","4","REFRIGERATOR MECHANIC","50","45"
"A00066246","ONE_DAY- Age 22-59","VA","6","16","7","COMMERCIAL INSURANCE UNDERWRITER","0","NA","0","NA","6","16","8","RESTAURANT OWNER","4","12","8","RESTAURANT OWNER","53","55"
"A00058571","ENROLLED","V1","5","13","7","REAL ESTATE CONSULTANT","0","NA","0","NA","6","16","4","POST OFFICE","0","NA","0","NA","50","38"
"A00037877","Adult-Age 18-21","V1","5","13","5","CLERICAL WORK","0","NA","0","NA","5","14","8","REGISTERED NURSE","6","16","6","FOREMAN","40","54"
"A00037267","Adult- Age 22-59","V1","7","20","7","NURSING ADMINISTRATION","5","14","5","THERAPY AIDE","4","12","3","SEAMSTRESS","4","12","7","ELEMENTARY SCHOOL TEACHER","48","37"
"A00037112","Adult- Age 22-59","V1","7","18","7","PROGRAM DIRECTOR FOR HOUSING AGENCY","0","NA","0","NA","6","16","8","EDITOR AT PUBLISHING COMPANY","6","16","7","DESIGNS AND MANAGES RESTAURANTS","56","55.5"
"A00060575","Older Adult- Age 65-85","V1","6","16","8","RN","0","NA","0","NA","1","4","1","STAY AT HOME MOM","1","4","1","FARMER","58","8"
"A00033231","Adult-Age 18-21","V1","4","12","1","STUDENT","0","NA","0","NA","7","18","7","PSYCHIATRIC NURSE","6","16","7","OFFICE MANAGER","17","54.5"
"A00040517","Older Adult- Age 60-64","V1","7","19","9","LAWYER","7","21","9","PSYCHIATRIST","7","18","8","PUBLIC RELATION FIRM","7","18","9","ENGINEER","66","63.5"
"A00040891","Adult- Age 22-59","V1","4","12","5","ACCOUNTS RECEIVABLE","0","NA","0","NA","1","4","2","FACTORY WORKER","1","1","2","FACTORY WORKER","37","13"
"A00060252","Older Adult- Age 65-85","V1","7","18","7","TEACHER-CET PROGRAM","6","16","7","FUNERAL DIRECTOR","6","16","1","HOUSEWIFE","6","16","4","OWNED BOX MANUFACTURING BUSINESS","54.5","38"
"A00060170","Older Adult- Age 65-85","V1","6","16","9","OWNS CONSULTANT COMPANY","7","18","7","SOCIAL WORKER","4","12","6","OFFICE SECRETARY","5","14","5","OWN MECHANIC COMPANY","59.5","41"
"A00044408","Older Adult- Age 65-85","V1","7","18","8","AUDITOR DEPARTMENT OF SOCIAL JUSTICE","7","18","9","TOWN JUSTICE","5","14","6","OWNED COSMETOLOGY BUSINESS","5","14","6","MANAGER OF COSMETOLOGY BUSINESS","63.5","45"
"A00039699","Adult- Age 22-59","V1","7","18","8","VICE PRESIDENT FINANCE","7","18","7","MIDDLE SCHOOL TEACHER","4","12","5","CLERICAL","0","NA","0","NA","58.5","37"
"A00063455","ONE_DAY-Age 65-85","VA","7","18","8","HOSPITAL ADMINISTRATOR","5","14","8","RN","4","12","1","HOMEMAKER","5","13","4","NAVY- ENLISTED","58","35"
"A00037783","Adult- Age 22-59","V1","7","20","9","RESIDENT PHYSICIAN","0","NA","0","NA","5","14","4","LICENSED PRACTICAL NURSE","6","16","6","SUBSTANCE ABUSE COUNSELOR","66","41.5"
"A00061483","ONE_DAY-Age 60-64","VA","6","16","7","NETWORK ADMINISTRATOR - MANAGER","7","18","9","OWNED BASEBALL TEAM","4","12","8","COMPTROLLER","6","16","3","CONDUCTOR","59.5","42.5"
"A00053625","Older Adult- Age 65-85","V1","7","18","8","SCHOOL PRINCIPAL ELEMENTARY SCHOOL","0","NA","0","NA","5","13","7","OWNED BUSINESS/CORPORATIONS GOLD/SILVER POLISHING","7","18","9","ATTORNEY","61","58"
"A00056489","Adult- Age 22-59","V1","4","12","2","LANDSCAPING","0","NA","0","NA","5","13","2","FACTORY WORKER","5","13","1","CUSTODIAN","22","22.5"
"A00056372","Older Adult- Age 65-85","V1","6","16","7","LEGAL WRITER","6","16","6","HEAD OF PRICING FOR SHIPPING COMPANY","4","12","6","SECRETARY (MEDICAL)","6","16","9","ENGINEER","50.5","52.5"
"A00053851","ENROLLED","V1","7","18","5","OWNER OF OUTDOOR GROUP FOR ADOLESCENTS AND TEENAGERS","0","NA","0","NA","6","16","8","DIRECTOR OF HUMAN RESOURCES","7","18","8","COMMISSIONER OF URBAN PLANNING DEPT.","46","59.5"
"A00037116","Adult- Age 22-59","V1","6","16","5","STARBUCKS","0","NA","0","NA","7","18","7","TEACHER","4","12","6","AUDIO SOUND TECHNICIAN","43","49"
"A00034854","ENROLLED","V1REP","6","16","4","MANAGER AT RESTAURANT","0","NA","0","NA","6","16","6","MANAGER AT PHARMACY","4","12","7","OWNS AN AUTO MECHANIC SHOP","38","47.5"
"A00045590","ENROLLED","V1","6","16","9","SOFTWARE ENGINEER","0","NA","0","NA","6","16","8","HOSPICE RN","7","20","8","DIRECTOR OF RESEARCH","63","59.5"
"A00061263","ONE_DAY- Age 22-59","VA","5","13","1","PART TIME LABORER","0","NA","0","NA","4","12","3","HEALTH AIDE","4","12","3","HEALTH AIDE/DRY CLEANER","20","27"
"A00073611","ENROLLED","VA_ALG","5","13","6","MARKETING/ACCOUNTING ASSOCIATE","0","NA","0","NA","4","12","6","RETAIL SALES MANAGER","0","NA","0","NA","45","42"
"A00052499","Older Adult- Age 65-85","V1","7","18","7","DIRECTOR OF NON-PROFIT","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","56","NA"
"A00028150","Adult- Age 22-59","V1","6","16","8","ACCOUNTING","7","18","9","OWNED BUSINESS-SALES","4","12","3","PRODUCTION","4","12","4","AUTO MECHANIC","64.5","29.5"
"A00060582","Adult- Age 22-59","V1","5","14","5","COMMUNITY HABILITATION INSTRUCTOR FOR DEVELOPMENTAL DISABILITIES - UNDER SUPERVISION OF SOCIAL WORKER","0","N/A","0","N/A","6","16","8","RN","6","16","8","RN","40","58"
"A00065829","ONE_DAY-Age 60-64","VA","7","18","8","NURSE PRACTITIONER","6","16","6","SALES MAN/REP WHOLESALE","5","13","1","HOMEMAKER","4","12","3","BUS DRIVER","54.5","27"
"A00019903","Older Adult- Age 65-85","V1","6","16","7","SALES MANAGER","5","14","5","ASSISTANT IN SALES","3","10","2","CASHIER","1","7","5","OWNED WHOLESLE BUSINESS","46.5","23.5"
"A00038957","Adult- Age 22-59","V1","4","12","7","BRANCH MANAGER","5","14","6","LIEUTENANT NYPD","1","6","1","STAY AT HOME","6","16","6","LIEUTENANT NYPD","46","48"
"A00038805","Older Adult- Age 65-85","V1","5","13","8","AUTHOR","5","13","7","HIGH MIDDLE MANAGER","4","12","7","IRS MANAGER","6","16","7","TEACHER-ELEMENTARY","52.5","50"
"A00037545","Adult- Age 22-59","V1","5","15","7","REAL ESTATE AND INSURANCE AGENT","4","12","6","TEACHER'S ASSISTANT","4","12","1","HOMEMAKER","5","13","6","SMALL BUSINESS OWNER","46","31"
"A00050795","Adult- Age 22-59","V1","4","12","1","NO REGULAR OCCUPATION","0","NA","0","NA","4","12","5","MEDICAL BILLING","4","12","1","JANITOR","17","27"
"A00031794","Older Adult- Age 60-64","V1","7","18","7","SOCIAL WORKER","6","16","9","MECHANICAL ENGINEER","4","12","0","HOUSEWIFE","4","12","9","BUSINESS OWNER","59.5","57"
"A00058145","Older Adult- Age 65-85","V1","7","18","6","EDUCATIONAL THERAPIST AT A HS","0","NA","0","NA","3","10","3","DANCE INSTRUCTOR","3","11","7","ARTIST","51","34"
"A00066087","ONE_DAY","VA","6","16","6","RESEARCH STUDY ASSISTANT SLOAN","0","NA","0","NA","4","12","6","DATABASE ADMINISTRATOR","4","12","6","DATABASE ADMINISTRATOR","48","42"
"A00039500","Adult- Age 22-59","V1","6","16","8","FINANCIAL ANALYST","5","14","6","HEAD CHEF","4","12","3","SEAMSTRESS","0","NA","0","NA","51.5","27"
"A00060301","Older Adult- Age 65-85","V1","6","16","7","MANAGER - PHARMACEUTICAL","5","13","6","SECRETARY","4","12","6","MANAGER - SALES RETAIL","2","8","4","MECHANIC","49","34"
"A00053202","Adult- Age 22-59","V1","7","18","9","RESEARCH SCIENTIST AT PHARMACEUTICAL COMPANY","6","16","9","SUPERVISOR AT A FINANCIAL FIRM","7","18","6","INSTRUCTOR FOR FLIGHT ATTENDANTS","6","16","8","PILOT IN AIR FORCE","62","54.5"
"A00034827","Adult- Age 22-59","V1","7","18","8","PASTOR","7","18","8","PASTOR","6","16","1","HOMEMAKER","7","18","8","HOSPITAL ADMINISTRATOR","61","61"
"A00039249","Adult- Age 22-59","V1","7","18","8","HEALTH CARE ADMINISTRATOR","0","NA","0","NA","5","14","5","SOCIAL SERVICES","5","14","4","BUSINESS OWNER","61","32.5"
"A00037118","Adult- Age 22-59","V1","7","18","3","PRODUCTION ASSISTANT FOR FILM DIRECTOR","0","NA","0","NA","6","16","5","RECREATION OFFICE CLERK","7","18","7","DISTRICT MANAGER FOR TELEPHONE SERVICE PROVIDER","36","49.5"
"A00037818","Older Adult- Age 65-85","V1","6","16","6","CIRCULATION DIRECTOR","7","20","8","BOOK EDITOR","2","7","1","HOUSEWIFE","4","12","6","MANAGER","54.5","42"
"A00062210","ONE_DAY","VA","5","14","5","OWN BUSINESS - 50,000","6","16","9","ARCHITECT","4","12","3","HAIRDRESSER","1","6","5","BLACKSMITH","51.5","27.5"
"A00043790","Adult- Age 22-59","V1","7","17","7","DIRECTOR OF A DAYCARE CENTER","0","NA","0","NA","6","16","8","RN","4","12","6","CUSTODIAN ENGINEER/MANAGER FOR BOARD OF EDUCATION IN NYC","56","50"
"A00040915","Adult-Age 18-21","V1","4","12","5","CASHIER","0","NA","0","NA","4","12","9","TEACHER COLLEGE CLASSES","5","13","8","PRINCIPAL OF RELIGIOUS SCHOOL","27","56"
"A00038411","Adult- Age 22-59","V1","4","12","5","ADMINISTRATIVE ASSISTANT","3","10","7","BAR MANAGER","4","12","6","SECRETARY","3","10","4","CUSTODIAN ENGINEER (SKILLED MANUAL LABORER)","40.5","35.5"
"A00029303","Adult-Age 18-21","V1","5","13","5","RETAIL","0","NA","0","NA","5","13","6","RETAIL MANAGEMENT/SECRETARY","4","12","4","MECHANIC","40","38.5"
"A00039655","Older Adult- Age 65-85","V1","7","18","9","ATTORNEY","7","19","8","MARKETING DIRECTOR","6","16","8","HIGH SCHOOL TEACHER","6","16","7","INDUSTRIAL SALES","63.5","55.5"
