"","","","Writing:","Do you ever use the other hand?","Drawing:","Do you ever use the other hand?","Throwing:","Do you ever use the other hand?","Using Scissors:","Do you ever use the other hand?","Using a Toothbrush:","Do you ever use the other hand?","Using a Knife (without a fork):","Do you ever use the other hand?","Using a Spoon:","Do you ever use the other hand?","Using a Broom (upper hand):","Do you ever use the other hand?","Striking a Match:","Do you ever use the other hand?","Opening a Box (holding the lid):","Do you ever use the other hand?","Holding a Computer Mouse:","Do you ever use the other hand?","Using a Key to Unlock a Door:","Do you ever use the other hand?","Holding a Hammer:","Do you ever use the other hand?","Holding a Brush or Comb:","Do you ever use the other hand?","Holding a Cup while Drinking:","Do you ever use the other hand?","LATERALITY INDEX","DECILE"
"A00051457","Older Adult- Age 65-85","V1","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","1","0","1","1","3","1","3","1","3","1","80","5TH RIGHT"
"A00056306","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","1","85","6TH RIGHT"
"A00035076","Older Adult- Age 65-85","V1","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","2","1","3","0","3","1","3","1","3","1","3","1","50","1ST RIGHT"
"A00035377","Child - Age 15","V1","1","0","1","0","1","0","3","0","1","0","3","0","1","1","1","0","1","0","1","0","3","0","3","0","1","0","2","1","2","1","-55","3RD LEFT"
"A00066573","ONE_DAY-Age 7","VA","3","0","3","1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00055962","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","85","6TH RIGHT"
"A00051726","Adult-Age 18-21","V1","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","2","1","3","0","3","1","3","1","3","1","3","1","75","4TH RIGHT"
"A00060005","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00062353","ONE_DAY-Age 9-10","VA","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","2","0","3","1","3","0","3","0","3","1","3","1","3","1","75","4TH RIGHT"
"A00060384","Child Age 12","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","1","90","7TH RIGHT"
"A00034827","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00035765","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00056605","Child Age 14","V1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","3","0","1","1","1","0","1","1","1","1","-70","4TH LEFT"
"A00040581","Child- Age 6","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00039041","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","95","9TH RIGHT"
"A00052237","Child Age 16-17","V1","3","0","3","0","1","1","3","1","2","1","3","1","2","1","1","0","3","0","2","1","3","0","2","1","3","0","2","1","1","1","25","MIDDLE"
"A00056470","Child Age 12","V1","3","0","3","0","3","1","2","0","3","1","1","1","3","0","3","0","3","0","3","1","3","1","2","1","3","0","3","1","3","1","60","2ND RIGHT"
"A00059325","Child-Age 12","V1","3","1","3","0","2","1","3","0","2","1","3","1","1","0","1","0","2","1","2","1","3","1","2","1","1","1","2","1","2","1","10","MIDDLE"
"A00039168","Adult- Age 22-59","V1","1","0","1","0","1","1","3","0","1","1","1","1","1","1","1","1","1","1","1","1","3","0","3","1","1","1","1","0","1","1","-45","2ND LEFT"
"A00061203","ONE_DAY- Age 22-59","VA","1","0","1","0","1","0","1","1","1","0","1","1","1","0","1","0","1","0","1","0","3","0","1","0","1","0","1","0","1","0","-90","7TH LEFT"
"A00033998","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00039500","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00051529","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","1","100","10TH RIGHT"
"A00053369","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","1","0","3","0","2","1","3","0","3","1","2","1","70","3RD RIGHT"
"A00033752","Older Adult- Age 65-85","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","2","1","3","0","3","1","3","1","3","1","3","0","3","1","2","1","75","4TH RIGHT"
"A00037112","ENROLLED","V1REP","3","0","2","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","90","7TH RIGHT"
"A00040623","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","90","7TH RIGHT"
"A00033832","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","1","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","75","4TH RIGHT"
"A00055908","Child Age 9-10","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00035827","ENROLLED","V1REP","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00060581","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00054897","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","2","1","90","7TH RIGHT"
"A00044344","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00050677","Child-Age 7 ","V1","3","1","3","0","2","1","3","0","2","1","2","0","3","0","2","1","3","1","2","1","3","0","3","1","3","0","2","1","3","0","40","MIDDLE"
"A00044154","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00061883","ONE_DAY-AGE 14","VA","3","0","3","0","3","0","3","1","3","0","3","0","3","0","2","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00035960","Adult-Age 18-21","V1","1","0","1","0","3","1","1","0","1","1","1","0","1","0","1","1","1","1","2","1","3","0","1","0","1","0","1","1","1","1","-60","3RD LEFT"
"A00055373","ENROLLED","V1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","60","2ND RIGHT"
"A00029075","Older Adult- Age 65-85","V1","3","0","3","0","1","0","3","0","3","0","3","1","3","0","1","0","3","0","1","1","3","0","3","0","3","0","3","0","3","1","40","MIDDLE"
"A00066827","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","90","7TH RIGHT"
"A00066584","ONE_DAY-Age 16-17","VA","3","1","3","0","3","1","3","1","3","1","1","1","2","1","3","1","3","0","2","1","3","1","2","1","3","1","3","1","3","1","40","MIDDLE"
"A00052070","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00028389","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00066130","ONE_DAY-Age 65-85","VA","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","1","3","1","80","5TH RIGHT"
"A00061711","ONE_DAY- Age 22-59","VA","3","1","3","0","3","1","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","1","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00037439","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","75","4TH RIGHT"
"A00029979","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00028150","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00040312","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00056627","ENROLLED","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","0","1","0","3","0","1","1","3","0","3","1","3","0","3","1","2","1","55","1ST RIGHT"
"A00037767","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","95","9TH RIGHT"
"A00058552","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00054578","Child Age 9-10","V1","3","1","2","1","2","1","2","1","2","1","2","1","2","1","2","1","2","1","1","1","2","1","2","0","2","0","2","1","2","1","0","MIDDLE"
"A00031459","Adult-Age 18-21","V1","3","0","3","0","3","0","2","1","2","1","3","0","2","1","2","1","3","0","3","0","3","0","3","0","3","0","2","1","2","1","60","2ND RIGHT"
"A00052197","Adult-Age 18-21","V1","3","0","3","0","3","0","2","1","2","1","3","1","3","0","2","1","3","0","2","1","3","0","3","1","3","1","2","1","2","1","55","1ST RIGHT"
"A00051517","Older Adult- Age 65-85","V1","1","1","1","0","1","1","3","0","2","1","3","0","1","0","3","0","1","1","2","1","3","0","3","0","1","0","2","1","1","1","-5","MIDDLE"
"A00031629","Child - Age 15","V1","3","1","3","0","3","0","1","1","3","1","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","60","2ND RIGHT"
"A00061276","ONE_DAY- Age 22-59","VA","3","1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","1","3","0","3","0","3","0","3","0","75","4TH RIGHT"
"A00031832","Child-Age 12","V1","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00038642","ONE_DAY","VA-REP","3","0","3","0","3","0","3","1","3","1","3","1","3","1","1","1","3","1","3","1","3","0","3","0","3","0","3","1","3","1","55","1ST RIGHT"
"A00028185","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","1","0","3","0","1","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","60","2ND RIGHT"
"A00062368","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00060632","Adult- Age 22-59","V1","3","0","3","0","3","1","3","1","3","1","3","1","2","1","1","0","3","1","2","1","3","0","2","1","3","1","2","1","2","1","35","MIDDLE"
"A00062361","ONE_DAY-Age 9-10","VA","3","1","3","1","1","1","3","0","2","1","2","0","3","0","3","1","2","0","2","1","3","1","3","0","3","0","2","1","2","1","30","MIDDLE"
"A00033011","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","100","10TH RIGHT"
"A00074034","ONE_DAY-AGE 9-10","VA","3","0","3","0","3","1","2","1","2","1","3","0","2","1","3","1","3","0","2","1","3","1","3","0","3","0","3","1","3","1","50","1ST RIGHT"
"A00060279","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","85","6TH RIGHT"
"A00039916","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00031549","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","100","10TH RIGHT"
"A00038159","Adult-Age 18-21","V1","3","0","3","0","3","0","3","0","3","1","3","0","1","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00037511","Adult- Age 22-59","V1","3","0","3","0","3","1","3","1","3","0","3","0","3","0","3","0","2","1","2","1","3","0","3","0","3","0","3","0","2","1","70","3RD RIGHT"
"A00055921","Child Age 7","V1","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","1","0","3","0","3","0","3","0","2","1","3","0","70","3RD RIGHT"
"A00058503","ENROLLED","V1","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","85","6TH RIGHT"
"A00051882","Adult- Age 22-59","V1","3","1","3","0","3","1","3","0","3","0","3","0","3","0","1","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00044011","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","1","100","10TH RIGHT"
"A00063008","ONE_DAY","VA","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","0","3","1","3","1","55","1ST RIGHT"
"A00051796","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00062255","ONE_DAY- Age 22-59","VA","3","1","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","70","3RD RIGHT"
"A00029092","Adult-Age 18-21","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00056949","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00028207","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","1","3","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00037117","Adult- Age 22-59","V1","3","0","3","0","3","1","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00051676","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","1","3","0","3","1","2","0","3","1","3","0","3","1","3","1","75","4TH RIGHT"
"A00058130","Older Adult- Age 65-85","V1","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","1","1","-80","5TH LEFT"
"A00038616","Adult- Age 22-59","V1","3","","3","","3","","3","","2","1","2","1","2","1","2","1","3","","2","1","3","","3","","3","","2","1","2","1","50!WithErrors!","MIDDLE!WithErrors!"
"A00055116","Child - Age 15","V1","3","1","3","1","3","0","3","0","3","0","3","0","3","1","2","0","3","0","2","0","2","0","3","0","3","0","2","0","3","1","65","2ND RIGHT"
"A00044217","Child- Ages 9-10","V1","1","0","1","1","2","0","2","1","3","0","1","1","1","0","2","0","2","0","2","1","3","0","2","0","3","1","1","1","1","0","-20","MIDDLE"
"A00056556","ENROLLED","V1","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","80","5TH RIGHT"
"A00040567","Older Adult- Age 65-85","V1","1","0","1","0","1","0","1","0","1","0","3","1","1","0","1","1","1","0","3","1","3","0","1","0","1","0","1","0","1","1","-65","3RD LEFT"
"A00057406","ENROLLED","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","1","1","1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","80","5TH RIGHT"
"A00030913","Adult-Age 18-21","V1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00040182","Older Adult- Age 65-85","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00031219","Adolescent- Age  16-17","V1","3","1","3","0","2","1","3","0","3","1","2","1","2","1","2","1","2","1","2","1","3","0","3","0","2","1","2","1","2","1","30","MIDDLE"
"A00051925","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","1","100","10TH RIGHT"
"A00031272","Adult- Age 22-59","V1","3","0","3","1","3","1","3","0","3","1","3","1","3","1","3","1","3","0","3","1","3","1","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00058215","Child Age 6","V1","3","0","3","0","3","1","3","0","2","1","3","0","3","0","3","0","2","0","2","0","3","0","3","0","3","0","3","1","3","0","65","2ND RIGHT"
"A00054929","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00043677","Adult- Age 22-59","V1","1","1","1","1","1","1","1","1","1","0","2","1","1","1","1","1","1","0","2","1","2","1","2","1","1","0","2","1","2","1","-50","2ND LEFT"
"A00040257","Older Adult- Age 65-85","V1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00032875","Adult- Age 22-59","V1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","3","0","2","1","1","0","2","1","2","1","-70","4TH LEFT"
"A00059361","ENROLLED","VA_ALG","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00040343","Older Adult- Age 60-64","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","90","7TH RIGHT"
"A00073942","ENROLLED","VA_ALG","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","90","7TH RIGHT"
"A00013809","Older Adult- Age 60-64","V1","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","1","3","1","3","0","3","0","3","1","80","5TH RIGHT"
"A00039331","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","0","95","9TH RIGHT"
"A00050721","Adult- Age 22-59","V1","1","0","1","0","3","0","3","1","2","1","2","1","1","0","2","1","2","1","2","1","3","0","1","0","2","1","1","1","2","1","-15","MIDDLE"
"A00058685","Child Age 16-17","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00029219","Older Adult- Age 65-85","V1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-50","2ND LEFT"
"A00040741","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00056225","Child-Age 12","V1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00043520","Adult- Age 22-59","V1","3","1","3","0","3","0","3","0","1","1","1","0","3","0","2","1","3","0","1","1","3","1","2","1","3","0","2","1","3","0","35","MIDDLE"
"A00055542","Adult- Age 22-59","V1","3","1","3","0","3","0","3","1","3","0","3","0","3","1","1","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00066462","ONE_DAY-Age 11","VA","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00040151","Adult- Age 22-59","V1","3","0","3","0","3","1","3","0","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","0","3","1","3","1","80","5TH RIGHT"
"A00062085","ONE_DAY-AGE 8","VA","1","0","1","0","1","0","2","1","1","0","3","0","1","0","2","0","1","0","2","1","2","1","2","1","1","0","2","0","2","1","-50","2ND LEFT"
"A00055906","Child - Age 15","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00065379","ONE_DAY","VA","3","0","3","0","2","1","3","0","3","1","2","0","2","1","1","0","2","1","2","1","3","0","3","1","3","1","3","1","3","1","25","MIDDLE"
"A00039700","Older Adult- Age 65-85","V1","3","1","1","1","1","1","3","0","1","0","3","1","1","0","1","1","1","1","1","1","3","0","3","0","2","1","2","1","2","1","-25","MIDDLE"
"A00043509","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","1","3","1","3","1","3","1","2","1","3","0","3","1","3","0","3","1","3","1","65","2ND RIGHT"
"A00062210","ONE_DAY","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","2","1","3","0","3","0","3","0","3","1","3","1","75","4TH RIGHT"
"A00028754","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00051679","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","85","6TH RIGHT"
"A00060264","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","2","1","3","0","3","0","3","0","3","1","3","1","85","6TH RIGHT"
"A00037768","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00039075","Adolescent- Age  16-17","V1","3","0","3","0","3","0","3","0","2","0","3","1","3","0","2","0","2","0","2","0","3","0","2","0","3","0","2","0","2","0","55","1ST RIGHT"
"A00043462","Adult-Age 18-21","V1","3","0","3","0","3","1","2","1","2","1","3","1","2","1","2","1","2","1","3","1","3","0","3","0","3","0","3","1","3","1","35","MIDDLE"
"A00073308","ONE_DAY-Age 65-85","VA","1","0","1","0","1","1","1","0","1","1","3","1","1","0","3","1","2","1","2","1","3","0","3","1","3","1","3","1","3","1","-40","1ST LEFT"
"A00055907","Child Age 7","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","0","2","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00052117","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","80","5TH RIGHT"
"A00061709","ONE_DAY","VA","3","0","3","0","3","1","3","0","3","0","3","1","2","1","2","1","3","0","2","1","1","1","3","0","3","0","3","1","3","1","60","2ND RIGHT"
"A00056097","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","100","10TH RIGHT"
"A00064323","ONE_DAY-Age 65-85","VA","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","1","3","0","3","0","3","0","3","0","3","1","95","9TH RIGHT"
"A00060362","ENROLLED","V1","3","0","3","0","3","0","3","0","2","1","2","1","3","1","2","1","2","1","3","0","3","0","3","1","3","0","2","1","3","1","55","1ST RIGHT"
"A00062248","ONE_DAY- Age 22-59","VA","3","0","3","0","3","1","3","0","3","0","3","0","3","1","1","1","3","0","3","1","3","1","3","0","3","0","3","1","3","1","70","3RD RIGHT"
"A00052165","Child Age 8","V1","3","0","3","0","3","1","2","1","3","0","2","0","2","1","2","1","2","0","2","1","3","0","3","0","2","1","2","1","3","0","35","MIDDLE"
"A00073545","ONE_DAY-AGE 7","VA","3","1","3","0","3","1","3","0","3","1","3","0","3","0","3","1","3","0","2","1","3","0","3","0","3","1","3","0","3","1","70","3RD RIGHT"
"A00040524","Adult- Age 22-59","V1","3","1","3","0","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","1","3","0","3","0","3","1","3","1","55","1ST RIGHT"
"A00058951","Child Age 8","V1","3","0","2","0","2","0","3","1","1","0","3","0","2","0","2","0","2","0","2","0","3","1","2","0","2","0","1","1","2","0","15","MIDDLE"
"A00040311","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","1","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","80","5TH RIGHT"
"A00031410","Child- Ages 9-10","V1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-55","3RD LEFT"
"A00044068","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","1","3","0","3","0","3","1","3","1","3","0","3","1","3","0","3","1","3","1","3","1","3","1","80","5TH RIGHT"
"A00060170","Older Adult- Age 65-85","V1","3","1","3","0","3","1","3","0","3","0","3","0","3","0","3","1","3","0","3","1","3","0","3","0","3","0","3","1","3","1","80","5TH RIGHT"
"A00030990","Older Adult- Age 65-85","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","100","10TH RIGHT"
"A00066788","ENROLLED","VA_ALG","3","1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","3","0","2","1","3","0","3","0","3","0","3","0","3","1","85","6TH RIGHT"
"A00057862","Child Age 9-10","V1","3","0","3","0","2","1","3","0","3","0","3","0","3","0","2","1","2","1","3","1","3","0","3","0","3","1","3","1","2","1","65","2ND RIGHT"
"A00035291","Child- Age 13","V1","3","0","3","0","3","0","3","0","3","0","3","0","3","0","1","1","3","0","3","0","3","0","1","1","3","0","3","0","2","1","85","6TH RIGHT"
"A00062268","ONE_DAY- Age 22-59","VA","3","0","3","0","3","0","3","0","1","0","3","0","3","1","3","0","3","0","3","1","3","0","3","1","3","0","1","1","1","1","70","3RD RIGHT"
"A00065743","ENROLLED","VA_ALG","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","0","1","1","3","0","1","1","1","0","1","1","3","1","-70","4TH LEFT"
"A00031605","Adult- Age 22-59","V1","3","0","3","0","3","0","3","0","3","0","1","0","2","1","1","0","3","1","2","1","2","1","2","1","3","0","2","1","2","1","35","MIDDLE"
