"","","","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","Admitting that your tastes are different from those of a friend.","Going camping in the wilderness.","Betting a day's income at the horse races.","Investing 10% of your annual income in a moderate growth mutual fund.","Drinking heavily at a social function.","Taking some questionable deductions on your income tax return.","Disagreeing with an authority figure on a major issue.","Betting a day's income at a high-stake poker game.","Having an affair with a married man/woman.","Passing off somebody else's work as your own.","Going down a ski run that is beyond your ability.","Investing 5% of your annual income in a very speculative stock.","Going whitewater rafting at high water in the spring.","Betting a day's income on the outcome of a sporting event.","Engaging in unprotected sex.","Revealing a friend's secret to someone else.","Driving a car without wearing a seat belt.","Investing 10% of your annual income in a new business venture.","Taking a skydiving class.","Riding a motorcycle without a helmet.","Choosing a career that you truly enjoy over a more secure one.","Speaking your mind about an unpopular issue in a meeting at work.","Sunbathing without sunscreen.","Bungee jumping off a tall bridge.","Piloting a small plane.","Walking home alone at night in an unsafe area of town.","Moving to a city far away from your extended family.","Starting a new career in your mid-thirties.","Leaving your young children alone at home while running an errand.","Not returning a wallet you found that contains $200.","FINANCIAL SUBSCALE (RISK TAKING)","ETHICAL SUBSCALE (RISK TAKING)","HEALTH/SAFETY SUBSCALE (RISK TAKING)","RECREATIONAL SUBSCALE (RISK TAKING)","SOCIAL SUBSCALE(RISK TAKING)","RISK TAKING OVERALL SCALE SCORE","ETHICAL SUBSCALE (RISK PERCEPTION)","FINANCIAL SUBSCALE (RISK PERCEPTION)","HEALTH/SAFETY SUBSCALE (RISK PERCEPTION)","RECREATIONAL SUBSCALE(RISK PERCEPTION)","SOCIAL SUBSCALE (RISK PERCEPTION)","OVERALL SCALE TOTAL SCORE RISK PERCEPTION","ETHICAL SUBSCALE (EXPECTED BENEFITS)","FINANCIAL SUBSCALE (EXPECTED BENEFITS)","HEALTH/SAFETY SUBSCALE (EXPECTED BENEFITS)","RECREATIONAL SUBSCALE (EXPECTED BENEFITS)","SOCIAL SUBSCALE (EXPECTED BENEFITS)","OVERALL SCALE TOTAL (EXPECTED BENEFITS)"
"A00060632","Adult- Age 22-59","V2","7","5","1","5","3","7","5","1","6","3","1","2","1","1","7","1","6","6","1","2","7","6","6","1","2","7","7","7","7","6","1","6","6","1","5","7","7","7","5","5","7","6","7","7","7","4","7","6","7","7","1","6","3","7","7","7","1","3","6","1","7","6","7","4","7","7","1","7","6","6","5","7","5","7","7","1","1","7","5","1","7","6","7","5","5","4","6","6","5","7","16","30","31","11","39","127","28","33","36","41","19","157","32","39","27","31","33","162"
"A00057183","ENROLLED","V2","6","7","1","5","4","3","6","1","1","1","2","3","2","1","5","2","2","6","6","2","7","6","2","2","2","1","6","6","1","1","1","2","6","3","5","5","2","5","7","5","5","4","4","4","5","5","5","4","4","7","4","4","6","6","6","7","2","2","2","5","3","7","1","4","1","2","4","1","1","1","2","3","2","2","1","1","1","4","2","1","6","3","1","1","3","1","3","4","1","1","17","9","16","21","37","100","29","26","35","27","15","132","7","15","6","17","23","68"
"A00062255","ONE_DAY- Age 22-59","VA","3","4","4","4","4","2","4","1","2","1","1","1","1","1","4","2","1","1","4","4","6","4","1","1","1","5","4","5","1","4","1","3","7","5","6","6","4","7","7","7","7","5","6","5","5","5","6","5","5","5","4","4","3","4","7","3","2","4","7","4","4","5","2","2","2","2","3","3","1","1","2","3","2","1","1","1","1","3","4","5","5","3","3","4","1","3","3","3","1","4","12","12","19","12","26","81","36","34","28","32","19","149","10","14","15","18","21","78"
"A00065722","ONE_DAY- Age 22-59","VA","5","2","1","6","1","1","4","1","2","1","2","2","1","1","1","2","1","3","4","1","4","4","1","1","4","2","1","1","1","1","1","2","6","4","3","6","4","6","5","6","4","3","6","6","6","5","6","6","4","6","4","4","5","6","5","5","6","4","7","4","5","4","3","4","2","1","3","3","3","2","4","3","4","3","4","3","1","4","4","1","5","5","2","1","4","2","1","5","1","2","14","8","7","14","19","62","33","31","31","27","23","145","12","20","12","21","24","89"
"A00057808","ENROLLED","V2","7","2","1","5","1","5","1","1","1","1","1","6","2","1","5","5","2","2","1","1","2","1","7","3","6","7","7","7","2","5","1","2","7","2","6","5","6","7","7","3","6","1","6","7","7","1","2","6","4","5","6","1","3","7","7","7","1","2","7","1","4","1","6","7","1","7","1","7","1","4","1","7","1","7","1","1","1","7","1","1","1","6","1","1","3","1","4","5","1","6","16","19","23","15","25","98","24","30","30","32","17","133","20","41","6","8","21","96"
"A00039353","Adult- Age 22-59","V2","7","1","1","7","1","1","1","1","1","1","1","4","1","1","1","1","1","4","1","1","6","2","5","1","1","1","1","1","1","1","1","7","7","5","7","7","7","7","7","7","7","5","7","7","7","7","7","6","7","7","3","5","6","7","7","7","7","2","7","7","1","1","4","4","1","1","1","4","1","1","1","4","1","1","1","1","1","4","1","1","7","4","1","1","1","1","2","4","1","1","18","6","10","6","18","58","42","37","41","42","25","187","6","21","6","6","19","58"
"A00028207","Adult- Age 22-59","V2","4","5","1","5","5","1","5","1","1","1","1","5","1","1","6","5","1","2","5","1","7","5","3","4","2","5","6","6","4","1","1","1","5","3","3","5","5","5","7","6","7","3","7","5","6","4","6","7","3","6","4","2","6","6","6","5","1","3","5","5","3","4","2","2","2","1","4","2","1","1","1","4","2","3","4","3","1","3","5","1","7","4","1","2","2","1","4","4","3","1","15","13","21","18","33","100","32","28","32","30","16","138","10","16","10","16","26","78"
"A00037116","Adult- Age 22-59","V2","7","7","6","4","5","4","7","5","5","1","1","3","6","2","5","1","5","6","7","3","7","7","1","5","7","3","7","7","1","1","1","6","5","5","3","6","4","6","6","7","7","6","7","5","7","7","6","6","7","7","7","5","7","7","6","6","6","5","7","3","3","7","4","4","2","4","6","6","6","1","3","3","5","4","4","1","1","7","7","1","6","7","1","4","5","1","6","6","2","2","26","13","22","33","42","136","36","33","36","40","28","173","16","28","10","31","34","119"
"A00063450","ONE_DAY- Age 18-21","VA","6","3","1","3","2","3","6","5","1","1","1","3","7","1","3","1","1","2","3","1","7","5","7","1","4","2","3","6","1","1","4","3","5","5","6","4","3","5","5","6","6","5","5","5","5","6","7","5","5","5","5","5","4","7","6","5","3","4","6","2","1","1","4","4","4","4","4","3","2","4","4","4","4","4","4","1","1","2","3","3","4","3","1","1","1","1","1","5","1","5","15","8","16","19","33","91","29","30","32","32","24","147","17","21","14","14","18","84"
"A00063000","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00037725","Adult- Age 22-59","V2","6","5","1","1","2","1","6","1","1","1","1","1","1","1","3","1","1","1","1","1","3","7","3","1","1","7","5","6","1","2","1","1","7","7","5","7","2","7","7","7","7","7","7","7","6","7","7","7","7","7","1","1","3","7","7","2","2","1","7","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","6","7","17","10","33","73","37","42","30","36","8","153","6","6","6","6","6","30"
"A00065617","ONE_DAY","VA","7","7","4","5","4","4","7","7","1","1","6","4","7","7","5","1","7","5","3","4","7","7","7","7","1","7","7","7","4","4","1","1","3","3","1","3","1","1","4","5","1","4","1","1","5","6","2","3","4","3","1","1","2","2","5","1","1","1","2","1","7","4","7","4","2","3","5","6","4","3","4","4","4","5","3","2","3","4","4","3","7","6","4","4","2","4","6","4","3","4","32","15","34","31","42","154","21","15","14","14","6","70","19","30","19","22","35","125"
"A00062937","ONE_DAY-Age 60-64","VA","7","7","1","5","1","1","4","1","1","1","1","1","3","1","1","1","3","1","1","1","5","5","3","1","1","3","3","1","1","7","1","3","7","6","7","7","1","7","7","7","7","6","5","7","5","7","5","7","6","7","5","3","5","7","5","5","3","4","7","7","1","4","7","7","1","4","1","7","1","1","1","4","1","7","1","1","1","4","1","1","7","1","1","1","1","1","1","4","1","1","10","12","12","14","25","73","42","40","34","33","17","166","9","36","6","9","15","75"
"A00035827","ENROLLED","V2REP","5","4","4","1","4","1","4","4","1","1","1","1","1","4","1","1","4","1","1","1","1","1","1","1","1","1","1","4","1","1","1","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","5","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","15","6","12","9","16","58","30","27","30","30","22","139","6","6","6","6","11","35"
"A00060602","ENROLLED","VA_ALG","5","5","1","6","3","5","4","1","1","1","1","6","3","1","1","1","3","5","5","3","6","4","6","1","2","1","6","7","1","1","1","1","7","6","6","2","2","7","7","6","7","5","5","3","7","7","4","6","2","6","4","1","5","5","4","7","1","1","7","1","4","6","4","5","5","6","4","2","2","4","4","4","3","2","2","4","5","4","5","3","5","4","3","4","4","2","2","4","2","1","20","10","17","17","32","96","30","34","35","24","10","133","19","21","20","26","23","109"
"A00066087","ONE_DAY","VA","2","2","1","5","2","5","3","1","1","1","1","6","4","1","2","2","1","5","1","1","7","1","1","1","4","5","2","1","5","1","1","2","6","3","6","3","5","4","6","7","3","2","2","5","7","5","6","6","5","7","4","6","6","4","3","3","3","5","3","2","1","4","3","5","2","3","3","2","2","1","3","3","2","2","1","1","1","4","5","2","7","2","1","2","4","2","4","4","3","4","19","15","12","13","16","75","26","26","35","19","24","130","14","19","9","20","21","83"
"A00031604","Adult- Age 22-59","V2","5","1","1","5","3","1","6","1","1","1","1","1","1","1","1","2","2","2","1","1","6","5","5","1","3","6","7","7","1","3","1","7","7","5","5","7","2","7","6","7","7","5","7","7","7","5","7","5","5","7","5","5","5","6","6","6","5","5","7","4","5","1","1","4","1","1","4","1","4","1","1","4","1","1","1","1","1","4","1","1","4","4","1","1","4","1","6","4","1","4","11","9","18","8","36","82","36","36","37","38","23","170","12","15","6","9","27","69"
"A00043762","Adult- Age 22-59","V2","7","5","1","6","2","2","5","1","2","1","7","2","6","1","2","1","7","1","1","1","3","4","1","1","1","1","1","4","4","1","2","3","7","4","2","2","4","7","5","5","7","6","3","6","4","4","3","7","4","6","5","4","7","6","3","5","5","3","7","2","2","4","1","4","2","2","2","1","2","1","1","2","4","1","2","1","1","2","1","1","3","2","2","1","1","1","1","1","2","3","12","11","14","21","24","82","25","37","27","26","23","138","11","11","9","12","11","54"
"A00037439","Adult- Age 22-59","V2","6","1","1","3","1","1","6","1","1","1","3","1","5","1","1","3","1","1","4","1","2","6","1","3","1","1","6","2","1","1","1","5","7","3","7","5","2","7","7","6","5","7","3","7","7","4","6","6","6","7","4","2","6","7","7","5","2","5","7","2","5","5","1","4","1","3","6","1","1","5","4","4","3","1","1","3","1","5","2","1","5","6","1","4","4","4","5","7","1","4","8","8","6","17","28","67","31","37","38","33","16","155","17","16","9","22","34","98"
"A00033963","Older Adult- Age 65-85","V2","2","1","1","6","1","7","7","1","1","1","1","6","1","1","1","1","1","1","1","1","1","7","1","1","1","5","7","7","1","7","2","7","7","2","7","1","1","7","7","7","7","2","7","7","7","7","7","7","7","7","7","1","7","7","7","2","1","1","7","1","4","1","1","4","1","4","7","1","1","1","1","4","1","1","1","1","1","1","1","1","1","7","1","1","1","4","7","7","1","7","16","18","10","6","31","81","30","32","37","42","13","154","15","12","9","6","33","75"
"A00051658","Adult-Age 18-21","V2","5","7","1","7","5","7","5","1","1","3","6","5","7","1","5","4","5","1","7","1","3","3","6","7","5","2","6","6","5","2","1","1","7","7","3","2","4","7","7","7","7","6","6","7","7","7","7","7","1","6","4","5","5","1","3","7","1","3","3","2","4","6","4","4","4","4","4","4","4","4","4","4","4","3","5","2","6","3","7","1","4","4","5","4","4","1","4","4","2","7","16","22","24","39","28","129","28","41","35","19","18","141","23","22","22","29","24","120"
"A00038158","Adult-Age 18-21","V2","7","7","1","7","1","1","7","1","1","2","6","1","7","1","6","1","1","7","7","1","4","7","1","7","7","7","2","4","1","1","1","1","7","1","7","7","1","7","7","7","7","7","2","7","2","7","6","2","1","7","2","1","2","7","2","4","1","4","7","1","1","6","1","7","1","1","7","7","4","4","1","1","4","7","7","1","1","7","7","1","7","7","1","4","7","1","1","3","1","7","18","7","17","41","31","114","36","31","28","20","10","125","18","30","12","29","26","115"
"A00054533","Adult-Age 18-21","V2","6","6","1","4","1","2","5","1","1","1","1","2","4","1","1","5","5","2","4","5","6","7","7","1","1","5","5","4","1","1","1","2","7","4","7","5","1","7","7","6","7","5","5","7","5","4","3","5","3","3","3","3","2","5","5","5","4","3","3","3","4","5","3","3","1","3","3","3","1","1","1","3","4","3","3","1","1","4","3","3","7","6","3","1","1","1","4","3","1","7","11","11","24","17","33","96","28","35","25","27","15","130","14","19","12","15","27","87"
"A00051023","Adult- Age 22-59","V2","4","3","3","2","1","4","4","1","1","1","2","1","4","1","1","2","1","1","5","1","4","3","1","1","4","1","1","5","1","1","3","5","5","3","6","5","3","5","5","5","5","5","3","5","6","5","7","5","2","7","5","5","5","6","5","6","5","2","6","5","1","1","1","2","1","1","1","1","1","1","1","1","3","1","1","1","1","1","5","1","1","1","1","1","1","1","1","4","1","1","9","10","6","19","21","65","31","28","37","26","23","145","6","7","6","12","9","40"
"A00033021","Older Adult- Age 65-85","V2","6","2","1","6","1","3","3","1","3","1","1","3","6","1","1","3","1","1","6","1","6","4","1","6","1","1","4","6","1","1","2","2","6","3","6","2","3","6","6","6","6","6","3","6","7","5","7","5","2","7","3","2","6","6","7","6","2","2","7","6","4","2","2","4","1","4","4","4","1","1","1","4","1","4","1","1","1","4","1","1","6","4","1","1","1","1","4","4","1","1","13","12","6","22","29","82","32","32","39","26","14","143","9","22","6","7","26","70"
"A00034987","Adult- Age 22-59","V2","5","1","1","4","1","4","3","1","1","1","1","3","1","1","1","1","1","3","3","1","7","3","1","1","1","1","7","7","1","1","1","7","7","2","7","7","4","7","7","7","7","5","7","7","7","6","5","7","5","6","4","2","2","7","5","7","5","4","7","4","1","1","1","7","1","1","1","4","1","1","1","4","1","4","1","1","1","4","1","1","7","4","1","1","1","1","4","4","1","1","13","9","6","8","32","68","38","35","34","38","20","165","6","24","6","6","21","63"
"A00029092","Adult-Age 18-21","V2","5","3","1","2","1","4","2","1","1","2","1","1","3","1","2","2","1","1","1","2","1","2","5","1","5","1","3","2","1","2","2","2","7","7","6","4","4","7","7","6","7","7","4","7","7","5","7","7","7","7","5","4","5","7","5","6","3","3","6","5","4","4","2","2","2","2","3","2","2","3","1","1","3","1","2","1","1","1","1","1","4","4","3","1","4","1","4","3","1","3","7","12","12","14","15","60","33","42","38","32","21","166","12","9","10","14","22","67"
"A00034854","Adult-Age 18-21","V2","6","5","1","3","5","2","5","1","2","2","1","2","5","1","2","3","6","3","5","1","5","4","2","1","3","2","6","5","2","5","1","2","5","2","2","2","1","6","3","4","4","5","3","6","5","2","2","5","2","6","4","2","6","2","2","5","1","2","2","1","1","3","4","4","2","4","4","3","1","3","1","3","3","4","1","2","1","4","3","1","5","5","1","2","3","1","6","6","2","5","11","16","18","20","31","96","14","29","26","15","11","95","17","22","7","15","27","88"
"A00038998","ENROLLED","V2REP","7","3","1","1","6","1","5","1","1","2","1","1","5","4","1","2","3","1","1","1","3","4","3","1","1","5","2","2","1","3","1","3","6","5","5","6","2","6","7","4","5","4","4","6","7","4","6","6","5","7","5","3","5","5","7","4","4","3","6","5","2","2","4","4","3","3","2","4","2","4","5","3","3","4","2","3","1","3","4","2","5","2","1","4","2","1","3","5","1","2","9","10","19","12","23","73","32","33","34","29","18","146","15","22","10","20","19","86"
"A00031167","Adult- Age 22-59","V2","7","1","1","6","2","1","4","1","1","1","7","4","6","1","5","2","1","1","1","1","6","7","1","1","1","5","7","7","1","1","1","3","7","3","7","6","3","7","7","7","3","5","4","7","7","5","7","7","7","7","2","2","7","7","7","5","2","2","7","3","1","7","6","6","1","1","3","4","1","1","4","6","4","5","4","2","1","6","1","1","7","4","1","1","1","1","3","4","1","1","14","7","15","17","38","91","35","36","40","31","12","154","7","33","9","18","22","89"
"A00039975","Older Adult- Age 65-85","V2","7","3","1","1","1","5","5","1","4","3","1","1","5","1","1","1","1","1","1","1","7","6","1","1","1","1","1","4","1","1","1","2","7","7","7","2","2","7","4","6","7","7","2","7","7","7","7","7","7","7","3","3","7","7","7","7","7","2","7","1","7","6","1","1","1","5","5","1","4","1","1","1","6","1","1","1","1","1","1","1","4","5","1","1","1","1","1","4","1","1","6","15","6","12","30","69","27","42","42","32","18","161","13","6","6","16","26","67"
"A00023510","Adult- Age 22-59","V2","6","5","2","4","5","4","5","2","5","3","3","4","2","2","3","3","1","4","5","1","6","5","1","3","1","2","6","5","1","5","5","5","6","6","6","6","5","6","6","5","5","5","6","5","6","5","7","4","6","6","5","5","6","7","7","7","6","6","7","3","5","6","4","5","4","4","5","4","3","3","5","4","5","3","5","4","1","5","4","1","7","5","1","3","6","2","5","5","1","5","18","21","13","19","33","104","32","32","38","36","32","170","20","25","14","29","32","120"
"A00060516","ENROLLED","V2","7","1","1","4","1","4","4","1","1","1","1","4","4","1","1","1","1","4","1","1","4","4","1","1","6","4","7","4","4","1","1","7","7","4","7","4","3","7","7","7","7","3","4","7","7","7","7","3","4","7","1","2","6","7","3","2","1","2","7","1","7","3","1","4","1","3","4","1","1","1","1","4","4","1","1","1","1","4","4","1","7","7","1","1","7","1","7","4","1","1","15","12","9","14","30","80","33","31","36","32","10","142","8","15","6","20","36","85"
"A00061483","ONE_DAY-Age 60-64","VA","7","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","2","5","7","7","6","5","5","7","5","5","5","7","7","7","4","2","3","7","5","5","5","2","7","5","7","5","1","1","5","1","1","4","1","1","1","3","2","1","4","4","1","1","1","1","4","1","1","1","1","3","6","4","1","1","1","4","6","4","3","2","6","6","6","6","15","39","23","42","30","34","16","145","17","6","14","9","23","69"
"A00033834","Adult- Age 22-59","V2","6","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","3","1","1","2","3","1","1","5","2","3","7","1","1","1","7","7","2","7","7","6","7","7","7","7","7","7","7","7","7","7","4","7","7","4","3","7","7","3","6","5","4","7","7","6","1","1","6","1","1","5","1","1","1","1","1","1","1","1","1","1","3","1","1","3","3","1","1","6","1","4","5","1","1","9","6","7","10","23","55","42","34","41","38","23","178","6","13","6","11","26","62"
"A00073611","ENROLLED","VA_ALG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00039951","Adult- Age 22-59","V2","6","7","5","7","2","3","3","3","2","4","5","7","7","5","3","2","1","7","7","1","6","6","3","2","6","5","3","2","1","4","2","2","3","1","7","6","5","6","7","7","5","4","2","3","7","5","7","6","5","7","6","4","6","7","7","6","4","4","7","2","3","5","5","4","2","2","5","3","1","3","6","7","6","5","1","1","1","7","7","1","7","4","1","1","6","1","5","7","1","4","34","16","15","34","26","125","34","23","40","28","25","150","12","31","7","31","31","112"
"A00028605","Adult- Age 22-59","V2","5","3","1","4","1","3","3","2","1","1","1","1","2","1","5","3","5","2","1","1","7","6","6","1","5","1","5","7","1","1","1","1","6","5","6","5","5","7","6","5","6","6","7","7","3","3","4","6","5","6","3","2","3","4","4","5","2","1","5","2","4","7","2","2","1","5","2","2","3","4","1","2","3","2","5","1","1","4","2","2","7","5","4","2","2","2","3","7","1","3","11","10","19","13","33","86","26","37","27","27","14","131","17","14","15","17","28","91"
"A00053202","Adult- Age 22-59","V2","5","1","1","1","1","1","5","1","1","3","1","1","1","1","1","1","2","1","1","1","5","6","5","1","1","5","5","2","1","1","2","6","7","5","7","5","5","4","7","4","7","5","6","3","7","5","3","5","5","6","4","6","4","5","6","5","2","2","6","1","1","4","1","5","1","3","3","2","1","1","5","5","5","3","1","1","1","4","4","1","5","4","1","1","5","1","4","6","1","4","6","8","15","6","28","63","28","29","32","35","21","145","11","20","6","24","23","84"
"A00065995","ONE_DAY- Age 22-59","VA","7","3","1","6","1","6","7","1","1","2","1","1","6","1","3","1","2","3","6","1","2","7","1","5","5","1","3","2","6","2","1","2","7","4","6","2","2","7","7","2","7","7","5","7","7","7","6","6","5","7","6","1","2","4","6","7","5","6","3","2","2","1","1","4","1","6","2","1","1","4","1","3","4","1","1","1","1","4","3","1","5","4","1","1","4","1","3","4","2","4","13","18","9","26","28","94","23","38","35","29","21","146","18","14","6","14","20","72"
"A00040152","Older Adult- Age 65-85","V2","4","2","1","3","1","1","4","1","1","1","1","1","1","1","1","1","1","2","1","1","4","1","1","1","1","1","3","3","1","1","1","2","7","2","7","7","5","7","7","7","7","5","7","7","7","4","7","4","7","7","5","5","7","7","6","7","4","5","7","6","1","1","1","4","1","1","1","1","1","1","1","4","1","1","1","1","1","4","1","1","4","1","1","1","1","1","1","4","1","1","9","6","6","7","19","47","38","32","42","36","25","173","6","15","6","6","12","45"
"A00061598","ONE_DAY- Age 22-59","VA","7","7","1","2","5","2","4","1","1","1","1","1","2","1","4","4","5","1","2","1","5","6","7","2","1","2","5","5","5","4","1","3","7","7","2","7","6","7","7","7","7","7","7","7","5","5","4","7","5","7","3","3","4","5","6","6","3","3","5","3","4","2","1","1","1","1","3","1","1","3","3","1","2","1","2","2","1","3","4","1","5","4","5","4","3","2","4","5","3","3","7","17","24","15","32","95","34","42","28","33","19","156","13","8","12","18","25","76"
"A00059361","ENROLLED","VA_ALG","6","7","3","2","3","1","3","1","1","1","5","1","7","1","1","1","1","1","6","1","4","3","1","1","6","1","2","2","1","6","2","2","5","2","3","6","3","5","6","6","3","5","2","5","6","6","7","6","2","7","3","5","6","3","3","7","3","3","7","3","4","6","4","4","1","3","4","3","3","3","2","3","6","4","2","1","1","3","5","1","5","4","1","2","4","1","3","4","2","2","9","11","8","32","20","80","34","28","36","15","19","132","14","21","7","25","24","91"
"A00037767","Adult- Age 22-59","V2","7","7","1","1","1","1","5","1","1","1","1","1","5","1","1","1","1","1","2","1","6","4","3","1","5","1","5","7","2","1","1","2","7","3","7","7","3","7","7","5","7","6","6","6","7","6","6","6","3","7","2","3","5","7","3","6","3","3","7","1","1","4","1","4","1","1","4","1","1","1","4","4","1","1","1","4","1","4","4","1","4","4","1","1","4","1","4","4","1","4","6","7","8","21","34","76","33","35","38","28","15","149","12","15","6","18","21","72"
"A00039923","Older Adult- Age 65-85","V2","7","1","1","1","1","1","7","1","1","1","1","1","5","1","1","1","1","1","5","1","5","7","1","1","3","1","2","4","1","1","1","7","7","7","7","7","3","7","7","7","7","7","3","7","7","7","7","7","5","7","2","3","7","7","5","7","6","2","7","7","7","1","1","1","1","1","4","1","1","2","1","1","4","1","1","1","1","1","4","1","3","5","1","1","2","1","2","4","1","1","6","6","6","16","32","66","42","42","42","34","17","177","7","6","6","13","25","57"
"A00028271","Older Adult- Age 60-64","V2","6","6","1","7","6","3","3","1","2","1","1","5","3","1","1","1","7","5","1","6","6","5","5","1","1","5","1","6","3","5","4","1","5","4","5","3","5","5","6","5","7","5","6","6","7","4","1","4","7","4","5","5","4","7","7","4","2","4","3","4","1","4","1","3","1","4","4","1","1","2","1","4","1","1","1","1","4","4","1","1","5","3","1","1","1","1","1","4","1","3","20","15","30","13","27","105","25","29","25","35","25","139","12","14","9","9","18","62"
"A00035072","Adult- Age 22-59","V2","7","7","1","5","5","3","5","1","6","1","1","1","7","1","5","5","6","2","7","1","7","6","6","7","2","1","1","7","1","3","1","3","6","2","2","4","3","7","4","6","7","4","4","7","6","5","5","5","5","6","4","3","4","5","6","6","4","1","6","2","7","7","1","3","4","4","4","2","4","1","2","4","7","2","3","2","2","3","7","1","7","7","3","7","4","1","4","5","2","4","11","19","24","31","33","118","27","31","29","30","16","133","17","15","14","34","34","114"
"A00059990","ONE_DAY- Age 18-21","VA","6","7","1","5","1","4","6","1","1","2","2","6","7","3","5","1","6","7","1","1","7","7","7","1","1","7","6","4","2","7","1","4","7","3","4","5","5","7","3","6","6","7","6","5","6","7","5","7","7","7","5","1","2","7","7","4","1","2","5","1","7","1","1","6","1","3","3","1","1","2","1","4","1","2","2","1","1","5","1","1","7","4","4","1","1","1","3","5","1","7","23","17","27","19","36","122","27","36","28","37","15","143","15","19","10","6","29","79"
"A00029215","Adult- Age 22-59","V2","7","1","1","6","5","6","7","1","4","1","1","4","6","1","1","1","1","1","1","1","4","7","7","1","1","6","1","1","1","4","1","2","6","4","2","3","4","6","5","6","7","7","5","7","7","7","7","7","7","7","4","5","3","7","7","5","4","5","7","1","1","1","4","4","1","4","4","4","1","1","1","4","4","4","1","1","1","4","1","1","7","7","4","1","1","1","1","4","1","4","14","17","21","11","27","90","29","37","31","35","23","155","12","24","9","9","24","78"
"A00060301","Older Adult- Age 65-85","V2","6","1","1","7","1","1","6","1","1","1","1","1","1","1","1","1","1","4","1","1","6","6","6","1","1","6","1","6","1","1","2","4","7","2","7","6","6","7","7","7","7","7","6","7","7","6","6","4","4","6","3","6","5","6","3","5","5","4","6","6","1","4","1","6","1","1","1","1","1","1","1","1","3","1","1","1","1","4","4","1","6","3","1","1","4","1","3","5","1","1","15","6","16","6","31","74","38","34","36","30","26","164","6","14","6","17","19","62"
"A00054019","ENROLLED","V2","7","7","4","5","7","4","3","1","2","1","2","5","7","1","6","5","5","2","1","1","7","3","6","1","2","5","5","7","4","1","1","1","5","4","2","3","4","6","6","5","5","4","3","5","5","4","4","5","4","5","2","3","3","4","3","2","1","2","2","1","6","7","3","4","4","4","2","3","1","2","1","3","7","4","4","3","1","3","4","2","7","4","1","2","4","1","6","6","2","7","18","17","30","20","32","117","21","29","21","20","13","104","19","20","13","25","31","108"
