"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"A00076026","Adult- Age 22-59","V1","3","0","3","4","1","3","3","2","4","1","1","3","3","4","1","1","3","3","3","3","3","1","3","3","3","1","1","3","3","3","3","2","4","3","4","3","3","3","3","2","3","3","3","4","3","2","3","2","4","3","1","4","3","3","1","1","3","1","1","3","25","29","33","39","28","2","40","54","50","56","59","43"
"A00065802","ONE_DAY-Age 15","VA","1","3","3","4","2","1","4","3","4","3","1","3","3","3","2","0","3","3","2","3","1","3","2","2","2","1","2","1","3","1","1","3","2","3","3","1","4","1","3","3","1","3","2","2","2","0","3","3","3","3","2","3","3","3","2","1","3","3","3","3","11","37","29","35","29","1","14","39","66","53","59","45"
"A00028192","Adult- Age 22-59","V1","1","2","1","3","4","1","3","4","2","3","1","1","2","3","3","1","2","3","1","3","0","2","2","2","3","1","2","3","1","3","1","2","3","2","3","1","2","3","1","3","1","1","1","1","3","1","1","3","3","3","1","2","3","2","3","1","1","3","1","3","11","21","31","22","37","1","49","39","40","56","36","58"
"A00060577","Adult-Age 18-21","V1","3","3","3","2","3","3","3","4","1","4","3","3","3","1","3","3","3","4","3","3","1","3","3","1","3","3","4","4","2","3","3","3","2","1","3","3","4","4","4","3","1","4","3","3","3","3","3","4","3","3","1","2","4","1","3","4","3","4","1","3","31","38","42","23","37","1","20","67","68","73","38","58"
"A00028625","Older Adult- Age 65-85","V1","1","1","1","4","4","3","3","1","4","4","0","1","3","4","4","0","4","4","0","4","0","4","3","1","3","0","3","1","1","4","1","3","4","4","3","4","2","2","3","4","0","3","1","0","4","2","1","4","4","3","0","3","4","2","4","1","2","3","1","3","12","30","31","28","44","1","73","40","55","56","46","70"
"A00066812","ONE_DAY","VA","2","1","1","3","3","1","1","3","3","3","1","3","3","3","2","1","0","3","3","3","0","3","3","2","3","1","3","2","3","2","1","3","1","3","3","1","2","3","3","3","1","3","2","3","3","4","3","3","3","3","1","4","3","2","3","0","3","3","2","3","14","29","30","33","34","1","23","43","53","54","55","53"
"A00039488","Adult- Age 22-59","V1","2","1","0","4","4","2","3","4","4","4","2","2","3","4","4","2","4","3","2","3","0","2","3","4","4","0","0","1","3","1","1","3","0","3","4","1","2","4","4","4","4","3","3","2","3","4","3","1","4","4","1","3","4","2","1","3","2","2","2","4","22","28","28","38","40","1","27","54","51","51","64","63"
"A00055738","Adult- Age 22-59","V1","3","3","3","4","3","1","3","4","4","4","1","3","2","4","3","1","3","3","4","3","1","0","3","3","4","0","3","3","1","1","1","2","3","3","4","1","3","3","4","4","3","3","3","3","4","1","3","4","3","4","1","4","4","3","4","0","3","0","3","4","14","33","35","39","42","2","25","40","56","59","59","64"
"A00060574","ONE_DAY- Age 22-59","VA","0","3","1","4","2","0","3","4","4","3","1","4","0","4","1","4","4","4","3","4","0","1","3","3","3","0","4","1","4","3","1","3","3","4","4","1","4","3","4","4","1","4","4","3","3","4","0","3","4","4","0","4","4","3","3","0","4","1","4","3","12","38","31","44","37","2","57","37","65","53","68","56"
"A00051927","Adult- Age 22-59","V1","2","2","1","4","1","1","4","3","4","1","1","4","3","4","3","1","4","4","4","3","0","2","4","4","2","0","3","3","3","0","1","1","3","4","3","1","4","3","4","3","2","3","3","4","1","1","1","4","4","1","0","1","3","4","0","1","2","2","3","3","11","31","36","46","21","2","38","36","53","61","72","32"
"A00066820","ONE_DAY-Age 65-85","VA","2","1","2","4","3","2","3","4","4","3","3","1","4","3","3","1","4","4","3","4","2","1","1","3","2","3","1","4","2","1","3","1","3","3","4","1","3","3","4","4","1","3","3","4","4","3","2","4","4","3","2","3","3","3","4","1","1","1","3","4","24","24","36","40","39","2","75","52","42","61","61","60"
"A00034827","Adult- Age 22-59","V1","0","0","4","3","1","1","1","4","4","3","0","0","0","4","3","0","1","1","2","3","1","3","1","1","3","1","0","4","2","1","0","3","3","2","3","0","2","3","1","4","0","0","1","4","4","0","3","4","3","3","0","3","4","4","3","1","1","3","2","3","4","17","32","32","34","1","47","29","33","57","54","53"
"A00060252","Older Adult- Age 65-85","V1","3","2","0","3","3","1","3","3","3","3","1","3","3","3","3","1","3","3","1","3","1","3","1","3","3","1","3","3","1","3","1","3","3","3","3","1","3","1","3","3","1","3","1","1","3","1","3","3","3","3","1","3","3","3","3","1","3","1","3","3","14","35","25","30","36","2","78","40","60","43","44","55"
"A00050721","Adult- Age 22-59","V1","2","1","1","3","2","3","4","4","3","1","1","3","4","3","1","1","3","4","1","3","1","2","3","2","1","1","1","3","2","1","2","3","0","3","2","1","3","2","3","3","1","3","3","4","3","1","1","3","3","2","1","4","3","3","1","1","1","2","3","1","16","29","32","33","21","2","46","42","50","54","49","32"
"A00029219","Older Adult- Age 65-85","V1","2","1","1","3","3","1","3","3","2","3","2","3","2","4","3","1","2","3","1","3","1","2","1","2","2","0","3","1","1","2","3","2","3","2","3","1","2","3","3","3","2","3","1","3","3","2","1","3","3","2","2","3","3","2","3","1","2","1","3","2","18","27","25","29","32","1","77","48","50","46","48","50"
"A00034073","Adolescent- Age  16-17","V1","2","1","0","4","3","0","2","4","4","4","0","4","4","4","1","0","2","2","2","2","0","2","4","2","2","0","2","4","2","4","4","0","4","0","4","2","0","4","0","4","0","2","2","0","2","4","4","4","4","3","4","4","4","0","4","2","4","4","2","4","18","27","40","24","37","1","16","48","50","70","39","58"
"A00066864","ENROLLED","VA_ALG","3","2","2","4","4","3","3","3","4","3","0","2","2","4","4","2","4","4","2","4","0","2","2","3","2","2","3","2","2","4","2","2","2","3","3","2","3","3","4","4","1","4","2","3","4","2","2","2","4","3","2","3","3","3","3","1","1","2","4","3","20","31","29","40","41","2","58","47","53","50","61","63"
"A00055692","Adult- Age 22-59","V1","3","1","1","4","4","2","4","4","0","4","0","0","4","0","0","0","4","2","0","4","0","4","0","0","4","0","4","0","0","4","4","4","0","4","4","4","4","4","4","4","0","4","4","4","4","4","4","4","4","4","0","4","4","0","4","0","4","4","0","4","17","41","31","20","44","2","56","43","69","53","26","67"
"A00060925","Adult- Age 22-59","V1","3","4","2","2","4","2","3","3","4","2","2","2","0","2","2","2","2","2","2","2","2","1","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","1","2","2","2","25","25","24","26","27","2","24","54","44","41","36","41"
"A00029092","Adult-Age 18-21","V1","3","2","1","3","3","3","3","3","3","2","1","1","2","3","2","1","3","2","2","3","1","2","2","3","3","1","2","2","3","2","2","1","2","3","3","1","3","2","3","3","2","3","2","3","1","3","1","3","3","3","1","2","2","3","3","3","1","1","4","3","22","24","24","36","31","2","20","50","42","41","54","47"
"A00052214","Older Adult- Age 65-85","V1","0","3","1","3","4","1","3","3","0","4","1","0","3","4","4","1","4","2","4","3","0","2","1","2","3","0","2","3","2","3","1","3","3","2","3","1","3","2","4","3","1","4","2","2","3","1","3","2","3","3","0","3","3","2","4","0","2","1","4","3","7","32","26","32","40","2","75","31","55","45","47","61"
"A00051528","Older Adult- Age 60-64","V1","3","2","3","4","3","3","4","4","4","1","3","2","4","4","2","3","4","4","2","4","1","3","1","4","1","2","2","4","1","0","2","1","3","4","3","3","3","3","4","3","2","4","2","2","1","3","2","4","4","2","3","3","4","3","2","0","1","4","4","3","28","31","40","40","25","1","61","63","56","70","68","38"
"A00053475","ENROLLED","V1","2","2","3","4","1","3","3","2","2","1","3","4","3","1","2","1","3","1","4","3","2","1","2","2","2","2","2","2","2","1","3","1","3","2","2","2","2","3","4","3","3","2","1","2","2","1","1","3","3","3","2","1","3","4","2","1","1","2","4","3","25","23","28","34","25","1","30","58","43","51","57","38"
"A00030990","Older Adult- Age 65-85","V1","1","1","4","4","4","3","3","4","1","4","3","0","3","1","3","3","3","1","3","3","4","3","1","1","3","3","3","3","1","3","3","1","1","3","4","3","3","3","3","4","3","3","3","3","3","3","3","1","3","4","3","3","3","3","3","1","1","3","3","3","33","27","30","29","41","2","66","64","47","51","42","63"
"A00051513","Adult- Age 22-59","V1","2","2","0","3","3","1","2","3","3","2","2","3","2","3","2","1","3","3","1","3","1","2","2","3","3","1","3","2","2","2","1","3","2","3","3","1","3","2","3","3","2","3","1","2","3","1","3","2","3","3","1","3","3","2","2","1","2","2","3","3","15","32","24","31","32","1","40","44","58","45","52","50"
"A00056470","Child Age 12","V1","0","2","2","2","2","3","3","2","2","1","0","1","0","3","2","1","2","2","0","2","0","2","2","4","2","0","2","2","1","1","2","3","1","3","3","3","2","2","2","2","1","2","0","2","2","2","2","2","3","3","3","4","2","1","2","1","0","3","4","3","16","25","20","27","25","2","12","42","44","35","38","38"
"A00052612","Adult- Age 22-59","V1","3","1","1","3","2","3","3","3","4","3","3","3","2","4","3","1","4","3","3","3","1","2","2","4","2","1","3","3","2","1","3","1","3","3","3","1","3","2","4","4","1","4","1","4","3","1","3","4","4","4","1","2","3","4","3","1","2","1","4","3","20","31","28","43","34","2","47","47","53","48","66","52"
"A00061923","ONE_DAY-AGE 16-17","VA","2","3","1","3","2","3","2","3","3","3","0","2","1","4","3","2","3","3","3","3","1","2","3","2","3","1","3","3","0","2","1","1","3","3","3","1","3","3","1","3","1","4","2","3","3","1","2","2","3","2","0","3","3","3","3","3","3","2","1","3","16","31","29","29","33","2","16","42","53","50","42","50"
"A00062929","ONE_DAY- Age 22-59","VA","4","2","1","4","2","4","4","4","4","3","4","1","4","4","1","3","3","2","0","3","4","3","3","1","1","1","1","4","3","4","4","3","4","4","3","4","4","3","2","3","4","2","3","4","2","3","3","4","4","3","3","3","2","4","4","2","1","1","3","4","40","30","35","37","33","2","57","73","52","59","56","50"
"A00041049","Adult- Age 22-59","V1","3","3","0","3","3","2","1","4","4","1","1","3","3","3","3","3","4","3","3","4","1","4","3","3","3","3","3","1","1","3","1","4","3","4","3","1","3","1","3","4","1","3","3","3","4","3","1","1","4","4","1","3","3","4","3","1","3","1","3","1","21","35","26","38","36","2","58","48","60","45","58","55"
"A00029304","Adult- Age 22-59","V1","3","1","1","4","3","3","2","3","3","2","1","2","3","3","3","2","2","4","2","3","0","2","2","3","2","2","1","3","1","3","1","2","3","2","2","2","2","3","1","3","2","2","1","2","3","1","2","4","4","3","1","4","3","3","2","4","3","3","3","3","22","25","33","31","32","1","32","54","46","59","52","50"
"A00051882","Adult- Age 22-59","V1","3","1","0","3","3","3","2","4","3","4","3","2","3","2","3","1","2","3","2","4","2","2","3","4","3","1","1","3","3","2","2","1","3","2","4","1","2","3","3","4","1","2","2","4","3","2","2","4","4","3","0","4","3","3","3","0","2","2","4","4","19","23","33","37","40","2","53","46","40","56","56","61"
"A00028844","Adult-Age 18-21","V1","1","2","2","3","2","1","3","3","3","1","1","3","3","3","1","1","3","4","1","3","1","3","2","1","3","2","3","3","2","2","2","2","3","2","3","3","3","3","3","3","1","3","2","3","2","3","3","3","3","3","1","3","4","2","2","0","2","3","3","3","17","33","35","29","28","1","19","47","60","62","48","43"
"A00061021","Older Adult- Age 60-64","V1","0","1","3","4","2","3","3","4","4","1","1","1","4","2","4","0","3","4","2","4","0","3","3","3","4","0","3","4","3","1","0","4","4","4","4","1","2","4","3","2","1","3","4","4","1","0","1","4","4","2","0","1","4","3","2","0","1","4","4","4","6","26","46","40","31","2","62","29","45","75","61","47"
"A00073525","ENROLLED","VA_ALG","3","3","3","4","3","1","2","3","3","3","1","3","2","3","3","2","3","3","3","3","1","2","2","3","3","1","3","3","2","3","3","2","2","2","3","2","3","3","3","3","1","3","2","3","3","3","2","2","3","3","1","3","3","2","3","1","3","3","2","3","20","32","31","33","36","2","52","47","55","53","49","55"
"A00033011","Adult- Age 22-59","V1","3","1","1","4","2","1","4","3","2","3","1","2","1","3","3","1","3","3","3","4","1","2","2","2","3","1","3","3","2","2","1","2","3","3","3","2","3","2","3","3","1","3","1","3","3","1","2","2","3","3","1","2","3","2","2","1","2","3","2","3","15","29","27","32","34","2","41","41","50","46","47","52"
"A00037396","Adult- Age 22-59","V1","3","3","0","4","3","3","1","3","4","0","4","0","1","4","0","3","4","4","4","3","3","1","0","3","1","3","0","3","3","0","3","3","4","4","3","4","1","4","3","1","4","3","2","3","1","3","3","4","4","3","3","1","4","0","0","4","0","2","4","3","40","20","31","40","18","2","31","73","35","53","61","27"
"A00033180","Adult-Age 18-21","V1","3","2","3","3","2","3","2","4","2","0","3","1","2","4","2","3","2","4","1","3","1","3","2","3","2","0","3","2","1","0","3","3","3","3","3","2","2","3","2","3","3","2","1","2","2","3","3","2","3","3","0","2","3","1","2","1","2","3","1","2","25","27","32","26","24","2","18","54","47","54","36","36"
"A00043283","Adult- Age 22-59","V1","1","2","3","4","3","2","4","4","4","3","0","2","4","2","2","4","4","4","2","4","3","3","4","3","3","2","2","3","4","3","4","2","4","2","3","1","3","4","4","4","0","4","4","4","4","4","1","3","4","4","0","3","4","3","4","4","3","4","3","3","25","33","45","39","40","1","44","58","60","75","66","63"
"A00062983","ONE_DAY-Age 16-17","VA","1","2","4","3","3","3","4","2","3","0","3","3","3","4","2","1","4","3","0","3","2","2","3","3","1","0","3","4","2","0","1","3","4","4","2","1","4","3","2","4","2","4","3","4","4","2","2","4","4","3","1","1","4","3","3","3","3","3","1","2","20","35","40","33","27","1","17","51","63","70","55","41"
"A00055332","Child - Age 15","V1","2","1","1","3","3","3","2","2","3","2","3","1","3","1","2","2","2","3","1","3","1","3","3","3","2","3","3","3","3","2","1","1","2","2","3","2","2","2","0","3","2","2","1","3","2","1","3","3","3","2","1","3","3","3","2","3","3","3","3","3","24","26","29","28","29","1","15","57","48","53","46","45"
"A00040343","Older Adult- Age 60-64","V1","2","0","2","4","4","4","1","1","0","4","1","0","0","4","3","0","1","4","4","4","0","0","0","2","2","1","1","3","1","1","1","0","1","3","4","2","4","4","3","4","3","0","0","3","4","1","0","0","4","4","2","1","4","3","4","1","1","0","1","4","18","9","19","32","42","2","63","45","25","33","47","64"
"A00028766","Adult-Age 18-21","V1","1","4","3","3","2","1","4","4","3","3","2","2","3","3","2","4","3","1","1","4","1","3","2","2","4","0","4","3","2","3","3","3","1","3","4","0","3","4","3","4","0","4","2","2","3","4","3","1","3","4","0","4","3","0","3","2","1","3","3","4","18","38","30","28","40","1","19","48","68","54","46","63"
"A00033963","Older Adult- Age 65-85","V1","2","1","1","4","4","3","4","4","3","4","3","0","4","1","1","1","3","4","0","4","0","4","2","0","4","0","2","3","3","4","0","4","4","3","4","4","4","2","3","4","1","3","1","3","3","2","3","2","3","4","0","4","4","3","3","1","2","3","3","4","17","34","34","29","43","2","66","43","58","58","42","66"
"A00065974","ONE_DAY- Age 22-59","VA","4","3","3","4","4","1","3","3","4","3","3","3","3","4","3","1","3","3","4","3","1","2","3","3","3","1","3","3","1","1","3","2","1","3","3","1","4","2","4","4","1","3","3","3","1","3","1","3","4","3","1","3","3","4","3","3","3","2","4","4","23","33","32","42","35","2","44","51","56","54","65","53"
"A00053874","Adult- Age 22-59","V1","2","2","3","4","3","2","3","3","4","2","1","0","2","4","2","3","4","3","2","4","0","2","2","4","2","1","4","4","2","2","2","2","3","3","2","2","2","2","2","4","2","3","2","2","3","2","2","2","4","2","1","2","2","4","2","2","1","1","4","2","20","27","29","39","30","2","47","47","47","50","59","46"
"A00060581","ONE_DAY- Age 22-59","VA","0","4","3","3","3","2","3","3","3","4","1","4","2","3","4","3","4","2","0","4","2","2","3","1","4","1","4","2","3","3","2","2","2","3","4","1","3","2","3","4","1","4","","","","","","","","","","","","","","","","","","","13!WithErrors!","30!WithErrors!","19!WithErrors!","19!WithErrors!","30!WithErrors!","1","32","25!WithErrors!","25!WithErrors!","25!WithErrors!","25!WithErrors!","25!WithErrors!"
"A00062809","ONE_DAY-Age 15","VA","4","2","3","2","3","3","3","2","2","3","2","1","3","1","3","2","2","3","2","3","3","3","2","2","3","0","2","4","3","3","4","2","3","1","4","1","3","2","2","3","2","3","3","3","3","3","2","3","2","4","0","4","4","3","3","1","1","3","1","4","25","28","35","24","39","2","15","54","48","59","33","60"
"A00062416","ONE_DAY- Age 22-59","VA","1","2","2","4","4","3","4","4","4","3","1","3","3","4","3","3","4","0","3","1","0","2","4","4","4","0","2","4","2","4","2","1","1","3","4","1","4","2","4","4","3","3","3","3","3","4","3","3","4","4","0","3","3","3","4","1","4","3","3","2","19","35","32","41","40","2","57","46","60","54","63","61"
"A00060773","ENROLLED","V1","2","2","3","3","1","3","3","4","2","1","2","1","4","2","1","1","3","3","1","3","1","3","4","3","1","1","1","3","2","1","2","2","3","3","2","2","3","3","2","1","3","3","3","3","1","2","2","3","3","2","2","2","3","3","3","3","0","4","1","2","24","25","40","28","19","2","23","52","44","67","40","29"
"A00040055","Adult- Age 22-59","V1","1","2","1","3","1","2","4","3","2","3","1","3","3","2","1","2","3","3","3","3","1","3","3","3","1","1","3","3","1","1","2","1","1","3","2","1","3","1","1","3","1","3","3","3","1","1","1","1","3","3","1","1","3","3","3","0","4","3","2","2","14","31","28","29","24","2","59","40","53","48","42","36"
"A00037492","Adult- Age 22-59","V1","3","1","1","4","4","2","3","3","3","4","1","1","3","3","3","1","2","3","3","3","1","2","2","3","3","1","1","3","2","3","1","3","1","3","3","1","3","2","3","0","4","2","2","3","4","1","3","3","3","3","1","3","2","3","4","1","2","2","3","0","18","26","27","36","34","1","55","48","48","50","61","53"
"A00057406","ENROLLED","V1","3","2","1","4","4","1","4","3","3","3","1","2","3","2","2","1","3","1","2","4","1","2","3","3","3","1","3","3","3","3","1","1","2","4","4","2","4","3","3","4","3","3","2","1","3","3","1","2","4","4","1","3","3","0","3","1","1","2","4","3","19","29","28","33","40","2","21","46","50","48","49","61"
"A00052340","ENROLLED","V1","1","2","3","2","2","3","4","4","0","2","2","1","4","1","1","0","4","2","2","3","0","3","2","3","2","1","1","3","2","0","2","2","4","3","3","3","3","3","2","1","3","4","2","2","1","2","2","3","3","2","1","2","4","1","2","3","2","4","2","3","21","30","38","23","22","2","33","48","52","64","31","33"
"A00039699","Adult- Age 22-59","V1","3","0","3","4","1","2","3","4","4","3","1","1","3","4","3","3","2","3","3","4","1","1","4","3","1","1","1","1","1","3","1","1","3","3","3","1","2","3","4","3","1","3","3","3","3","3","1","4","4","3","1","3","4","3","3","1","1","4","3","2","19","19","39","39","32","01","59","50","37","69","66","50"
"A00053902","ENROLLED","V1","3","2","2","4","2","1","4","4","4","2","1","0","3","4","3","3","3","3","2","3","1","1","3","2","3","2","4","3","2","4","2","3","1","3","3","1","3","3","2","3","1","4","4","3","2","1","3","3","4","3","0","3","3","2","3","3","4","1","4","3","19","34","33","36","34","2","37","46","58","56","54","52"
"A00051679","Adult- Age 22-59","V1","2","2","3","3","2","1","3","3","3","3","1","1","4","3","3","1","2","3","1","3","1","1","1","3","3","3","1","3","3","3","2","1","1","3","3","3","3","3","3","3","1","3","3","3","1","1","1","3","3","3","1","1","3","2","3","3","1","2","3","3","20","20","32","33","33","1","27","51","38","57","55","51"
"A00039943","Child - Age 15","V1","2","1","4","3","2","1","2","2","3","1","1","1","3","4","2","1","3","2","1","3","1","2","0","2","2","0","1","3","1","3","1","1","3","2","3","1","1","3","4","1","1","3","1","0","3","2","2","3","3","3","1","2","3","3","3","3","0","2","3","2","15","19","29","29","28","2","15","41","34","50","42","43"
"A00033735","Older Adult- Age 65-85","V1","1","2","0","4","4","1","3","4","4","4","1","2","2","4","4","0","3","3","3","4","0","3","2","3","3","0","2","3","1","4","0","2","3","3","4","0","3","2","4","4","1","3","3","3","4","0","1","2","4","4","0","4","3","3","4","0","2","1","4","3","4","30","28","40","46","2","70","27","52","48","61","70"
"A00040525","Adult- Age 22-59","V1","0","2","0","3","3","4","1","3","4","2","1","4","3","4","4","0","3","4","4","3","0","0","2","4","2","0","4","3","3","4","0","1","2","2","3","1","3","1","4","2","1","4","2","4","4","4","2","2","4","3","1","4","2","4","3","0","3","0","4","3","12","31","24","44","36","2","43","37","53","41","68","55"
"A00058218","ENROLLED","V1","4","4","2","3","3","0","3","4","2","3","0","2","3","3","3","0","3","3","3","4","0","2","2","3","3","0","3","3","3","3","1","3","4","3","3","1","3","2","3","3","1","3","2","3","3","1","3","4","3","3","0","3","4","2","4","0","4","3","1","3","8","36","36","32","38","2","38","32","61","61","47","58"
"A00066582","ONE_DAY-AGE 14","VA","3","2","2","4","4","1","1","3","4","3","2","2","3","4","2","1","3","3","2","4","1","2","1","3","3","1","2","1","1","2","1","1","2","1","3","2","3","2","4","3","1","3","2","3","3","4","1","4","3","2","0","2","2","3","4","1","2","1","4","2","18","24","26","36","35","2","14","45","42","45","54","53"
"A00061715","ONE_DAY-Age 16-17","VA","3","3","2","3","3","1","3","3","3","2","1","1","1","3","1","1","3","1","3","4","1","3","1","2","3","3","3","3","3","2","2","3","0","3","4","2","3","3","4","3","0","3","1","2","2","4","2","3","3","3","1","3","2","2","3","2","2","2","3","3","21","32","22","34","33","1","17","53","58","42","57","51"
"A00039758","Older Adult- Age 65-85","V1","1","1","0","4","4","0","4","4","4","4","0","1","3","4","3","0","4","4","0","4","0","3","3","4","4","0","1","3","1","4","0","3","4","3","4","3","3","3","4","4","0","3","3","4","4","0","1","4","4","4","0","4","4","4","4","0","3","3","4","3","4","31","38","40","46","1","66","29","56","67","68","73"
"A00038159","Adult-Age 18-21","V1","2","3","4","4","2","3","3","4","2","3","3","1","3","3","1","2","2","3","1","3","2","2","4","3","2","1","2","3","2","1","2","1","3","2","4","2","2","4","3","3","3","4","4","4","1","2","4","4","3","2","0","2","3","1","1","3","1","3","2","4","25","27","42","30","27","1","18","58","50","73","50","41"
"A00038998","Adult- Age 22-59","V1","2","2","1","4","3","2","1","2","4","2","1","3","1","4","2","1","3","3","2","3","1","2","0","3","2","1","2","1","1","1","2","2","3","2","2","1","2","3","4","3","1","2","1","3","2","2","1","1","3","3","1","2","2","3","3","2","2","1","3","2","17","24","19","36","28","1","26","47","45","37","61","43"
"A00037522","Older Adult- Age 60-64","V1","3","3","1","3","4","3","1","3","4","3","2","1","2","3","1","1","2","3","3","3","1","2","1","3","3","1","3","3","0","2","3","2","4","3","3","3","1","3","1","4","1","3","1","3","3","3","2","1","4","3","1","3","1","2","3","1","0","1","3","3","23","23","24","32","35","1","64","55","43","45","54","55"
"A00060471","ENROLLED","V1","3","3","4","3","2","4","3","3","1","3","3","3","2","2","3","3","3","2","2","3","1","3","2","3","3","3","3","1","1","3","3","3","4","2","3","1","2","4","1","2","1","3","1","3","1","4","3","1","3","3","1","1","2","3","3","4","3","3","0","3","31","33","29","24","32","1","25","67","60","53","39","50"
"A00063479","ONE_DAY-Age 65-85","VA","1","2","1","2","1","3","2","3","3","3","2","2","2","1","2","1","2","3","2","3","1","2","2","2","2","2","2","3","1","1","1","2","2","2","3","1","2","1","2","2","2","3","2","3","2","2","2","1","3","2","1","3","2","3","1","1","2","2","2","2","18","26","24","26","24","2","75","45","45","41","36","36"
"A00037545","Adult- Age 22-59","V1","0","3","2","4","3","0","4","3","1","4","0","3","4","3","4","0","4","4","0","4","0","3","1","2","3","0","4","3","2","3","0","3","3","4","3","1","4","3","4","4","0","4","1","3","4","0","4","1","3","4","0","4","4","3","4","0","3","3","1","4","1","43","32","30","44","1","58","25","75","57","50","70"
"A00041540","Adult- Age 22-59","V1","2","2","3","4","3","3","2","4","4","1","1","3","4","3","2","3","3","4","2","3","1","3","4","3","1","1","3","4","3","2","1","1","3","3","3","1","2","3","4","3","1","4","4","3","3","1","3","4","4","2","1","2","2","2","3","1","3","4","3","2","17","31","43","38","28","2","46","43","53","72","58","43"
"A00039974","Older Adult- Age 60-64","V1","4","4","2","4","4","4","4","4","4","4","2","2","3","2","2","4","3","3","2","4","2","3","3","2","3","4","4","3","2","3","3","2","3","1","4","4","3","4","4","4","3","4","2","2","3","4","1","3","4","3","1","3","3","2","4","2","3","2","4","3","37","36","35","33","41","2","60","69","61","59","49","63"
"A00055158","Child Age 13","V1","2","1","4","2","1","3","4","2","4","2","1","1","3","2","1","2","2","1","3","2","2","2","3","4","1","2","2","3","1","2","3","2","2","2","1","3","2","2","2","2","3","3","3","3","2","2","1","1","2","2","2","1","3","1","2","1","4","1","4","1","26","25","28","30","19","2","13","55","44","48","44","29"
"A00040580","Older Adult- Age 60-64","V1","3","1","1","4","3","1","3","3","4","4","0","3","2","3","3","1","4","2","3","4","1","1","3","3","3","1","3","3","3","4","0","3","3","4","3","1","3","1","3","4","1","3","4","4","4","0","3","4","4","4","0","4","4","3","4","0","4","0","4","3","9","35","30","42","43","2","60","33","60","51","65","66"
"A00043677","Adult- Age 22-59","V1","0","2","1","3","2","1","3","3","3","3","1","3","3","1","1","1","3","3","1","3","1","3","4","4","3","1","3","3","3","0","1","1","3","3","3","1","3","3","1","3","1","3","3","1","1","1","2","3","3","3","1","2","2","2","3","1","2","3","3","3","11","30","34","28","28","1","25","39","55","61","46","43"
"A00029076","Adult-Age 18-21","V1","2","3","1","4","4","2","3","4","3","2","2","2","3","4","2","1","3","3","3","4","1","2","3","4","2","1","2","3","3","2","2","1","3","2","3","2","2","3","2","3","1","3","2","3","3","1","2","3","4","3","1","3","2","3","3","2","3","1","4","4","18","29","31","39","35","1","20","48","53","56","66","55"
"A00040640","Adult- Age 22-59","V1","2","2","1","3","4","2","2","3","4","3","3","3","2","2","3","1","3","3","3","3","1","0","1","3","2","2","1","3","2","2","1","1","2","3","3","2","1","1","4","3","2","3","1","3","3","2","4","3","4","3","1","2","1","4","3","1","2","2","4","3","20","24","23","39","35","2","28","47","42","40","59","53"
